time_ms,distance_mm,beam_deg
8,251,0.0
68,70,-45.0
126,68,-45.0
185,69,-45.0
244,65,-45.0
303,71,-45.0
363,73,-45.0
421,79,-45.0
480,86,-45.0
539,92,-45.0
598,104,-8.06
658,112,-45.0
716,122,-14.59
775,135,42.95
835,155,45.0
893,168,45.0
952,181,45.0
1012,197,45.0
1070,212,45.0
1130,220,45.0
1189,226,45.0
1247,225,-45.0
1307,231,45.0
1366,232,-8.88
1425,227,-45.0
1484,230,16.7
1543,226,-45.0
1602,225,-45.0
1661,227,-0.94
1720,222,-45.0
1780,225,10.64
1838,228,14.23
1898,223,-45.0
1957,224,-18.6
2015,221,-45.0
2075,220,-45.0
2134,216,-45.0
2193,219,3.34
2252,222,6.92
2311,229,45.0
2370,231,3.7
2429,239,45.0
2488,232,-45.0
2547,237,45.0
2606,234,-45.0
2666,235,-5.53
2725,230,-45.0
2783,222,-45.0
2843,220,-45.0
2902,221,-22.39
2961,215,-45.0
3020,222,45.0
3079,225,10.37
3138,224,-45.0
3197,234,45.0
3256,235,-5.66
3316,234,-34.87
3374,236,9.53
3434,234,-45.0
3493,244,45.0
3551,246,45.0
3611,247,45.0
3669,257,45.0
3729,260,45.0
3788,272,45.0
3847,269,-19.17
3906,271,45.0
3965,278,45.0
4024,268,-45.0
4083,271,45.0
4142,260,-45.0
4202,257,-33.52
4260,259,38.89
4319,246,38.89
4379,247,38.89
4437,247,38.89
4497,247,38.89
4556,237,-45.0
4614,237,-15.61
4674,229,-45.0
4733,229,-25.23
4791,233,35.56
4851,234,-5.25
4910,237,26.34
4969,237,-15.66
5028,240,29.93
5087,243,33.53
5146,247,33.53
5205,247,33.53
5265,239,-45.0
5323,246,-45.0
5382,243,-45.0
5442,244,6.79
5500,239,-45.0
5559,246,-45.0
5618,250,-45.0
5677,249,-45.0
5737,253,-45.0
5795,260,45.0
5854,265,45.0
5914,265,18.02
5972,278,45.0
6032,273,-42.35
6091,269,-33.14
6149,261,-45.0
6209,267,45.0
6268,261,-45.0
6327,268,45.0
6386,270,45.0
6445,272,45.0
6505,280,45.0
6563,290,45.0
6622,288,17.76
6682,282,-45.0
6741,287,45.0
6800,284,-0.99
6859,285,45.0
6918,287,45.0
6977,285,14.26
7036,291,45.0
7095,288,3.9
7154,288,45.0
7213,286,15.54
7273,282,-17.24
7331,272,-45.0
7390,269,-18.82
7450,264,-45.0
7509,268,45.0
7568,270,45.0
7627,266,-36.39
7686,277,45.0
7745,272,-43.17
7804,284,45.0
7863,286,45.0
7922,296,45.0
7981,295,40.52
8041,294,39.34
8100,295,45.0
8158,304,45.0
8218,296,-45.0
8277,294,25.43
8336,288,-37.75
8395,291,45.0
8454,281,-45.0
8514,274,-45.0
8572,271,-16.09
8631,271,25.92
8691,267,-34.87
8749,271,45.0
8809,272,41.15
8868,277,45.0
8926,282,45.0
8986,281,24.0
9045,280,22.81
9105,278,6.42
9163,273,-41.56
9222,272,13.25
9282,263,-45.0
9340,270,45.0
9399,275,45.0
9459,268,-45.0
9518,282,45.0
9577,277,-36.69
9636,283,45.0
9695,286,45.0
9754,280,-45.0
9813,287,45.0
9873,291,45.0
9931,293,45.0
9990,288,-23.36
10050,286,16.26
10109,283,-1.32
10167,278,-35.31
10227,276,4.3
10286,274,1.92
10345,271,-15.67
10404,279,45.0
10463,272,-45.0
10523,273,42.76
10581,277,45.0
10641,276,18.39
10700,279,45.0
10759,281,45.0
10818,280,23.24
10877,276,-23.55
10936,275,17.26
10996,276,45.0
11054,276,32.49
11114,267,-45.0
11173,268,36.9
11232,264,-37.89
11291,262,-12.28
11350,263,30.92
11410,259,-43.87
11469,260,27.33
11527,260,13.34
11587,256,-45.0
11646,256,8.54
11705,261,45.0
11764,257,-45.0
11823,261,45.0
11883,261,14.56
11942,262,29.77
12000,266,45.0
12060,263,-25.01
12119,262,1.79
12178,263,31.0
12237,261,-13.4
12296,257,-45.0
12356,257,9.81
12414,259,40.21
12473,259,12.22
12533,269,45.0
12592,270,39.44
12651,268,-4.95
12710,276,45.0
12769,284,45.0
12829,277,-45.0
12887,275,3.5
12947,276,45.0
13006,272,-28.07
13064,277,45.0
13124,279,45.0
13183,281,45.0
13243,274,-45.0
13301,276,45.0
13360,275,17.61
13420,268,-45.0
13479,271,45.0
13537,266,-45.0
13597,259,-45.0
13656,262,45.0
13716,258,-44.75
13774,260,41.66
13833,268,45.0
13893,270,45.0
13952,275,45.0
14011,278,45.0
14070,282,45.0
14129,285,45.0
14189,285,43.75
14247,282,-1.83
14306,287,45.0
14366,280,-45.0
14425,276,-22.99
14484,273,-12.57
14543,266,-45.0
14602,261,-45.0
14662,258,-30.56
14720,259,26.65
14780,265,45.0
14839,265,19.86
14898,276,45.0
14957,279,45.0
15016,275,-24.1
