time_ms,distance_mm,beam_deg
9,261,45.0
68,384,45.0
126,379,45.0
186,386,45.0
244,379,45.0
303,373,45.0
363,379,45.0
421,379,45.0
481,372,45.0
540,364,25.38
598,367,45.0
658,351,-45.0
717,359,45.0
776,349,-20.41
835,335,-45.0
894,343,45.0
953,331,-45.0
1012,324,-8.24
1071,312,-45.0
1130,297,-45.0
1189,298,45.0
1249,287,-45.0
1308,284,-0.13
1366,282,11.49
1426,279,-6.1
1485,280,45.0
1544,280,37.13
1603,288,45.0
1662,287,31.57
1721,292,45.0
1780,283,-45.0
1839,281,10.42
1898,272,-45.0
1957,269,-17.96
2017,269,24.05
2076,263,-45.0
2134,260,-28.74
2194,263,45.0
2253,259,-43.93
2312,263,45.0
2371,266,45.0
2430,264,-9.9
2490,268,45.0
2548,272,45.0
2607,271,12.53
2667,276,45.0
2725,280,45.0
2785,281,45.0
2844,273,-45.0
2902,267,-45.0
2962,271,45.0
3021,266,-45.0
3081,259,-45.0
3139,257,-18.18
3198,251,-18.18
3258,251,-18.18
3316,255,-18.18
3375,255,-18.18
3434,259,45.0
3493,255,45.0
3553,260,45.0
3611,261,27.21
3670,258,-32.39
3730,262,45.0
3788,254,45.0
3848,256,45.0
3907,252,45.0
3965,252,45.0
4025,246,45.0
4084,244,-45.0
4142,242,-37.61
4202,247,-37.61
4261,244,-45.0
4320,245,-45.0
4379,253,-45.0
4438,257,45.0
4497,257,8.41
4556,262,45.0
4616,270,45.0
4674,272,45.0
4733,279,45.0
4793,276,-10.74
4851,274,0.87
4910,278,45.0
4970,268,-45.0
5028,271,45.0
5088,270,10.12
5147,264,-45.0
5206,270,45.0
5265,265,-45.0
5324,265,18.15
5384,270,45.0
5442,260,-45.0
5501,270,45.0
5561,272,45.0
5619,276,45.0
5678,272,-29.39
5738,274,45.0
5797,268,-45.0
5856,271,45.0
5915,268,-20.15
5974,262,-45.0
6033,259,-30.94
6092,258,-4.14
6152,253,-4.14
6210,256,45.0
6269,249,45.0
6329,250,45.0
6387,252,45.0
6446,243,-45.0
6505,244,6.79
6564,248,6.79
6624,243,-45.0
6682,248,-45.0
6741,246,-45.0
6800,252,-45.0
6859,254,-45.0
6918,253,-45.0
6977,261,45.0
7036,249,45.0
7096,256,45.0
7154,260,45.0
7213,257,-33.59
7273,256,-6.79
7331,256,7.22
7391,253,7.22
7450,252,7.22
7508,253,7.22
7568,259,45.0
7626,257,-19.59
7685,265,45.0
7745,255,45.0
7803,260,45.0
7863,261,27.21
7922,261,13.22
7981,260,-1.98
8040,261,27.23
8099,263,43.63
8159,264,30.84
8217,269,45.0
8276,266,-22.74
8336,264,-11.14
8394,261,-28.73
8453,263,43.68
8513,257,-45.0
8572,263,45.0
8631,260,-29.91
8690,277,45.0
8749,276,17.32
8808,276,31.33
8867,284,45.0
8927,281,-4.64
8985,285,45.0
9044,284,27.0
9104,279,-34.99
9163,279,35.03
9221,282,45.0
9281,282,38.66
9340,277,-37.33
9399,280,45.0
9458,271,-45.0
9517,269,-4.89
9576,270,38.32
9635,264,-45.0
9695,264,17.13
9753,253,17.13
9812,251,17.13
9872,257,45.0
9930,252,45.0
9989,263,45.0
10049,256,-45.0
10107,262,45.0
10167,260,-15.98
10226,266,45.0
10285,260,-45.0
10344,261,27.24
10403,258,-32.36
10463,258,9.65
10521,253,9.65
10580,252,9.65
10640,249,9.65
10698,250,9.65
10757,255,9.65
10817,256,45.0
10875,252,45.0
10935,255,45.0
10994,257,45.0
11052,250,45.0
11112,257,45.0
11171,254,45.0
11230,250,45.0
11289,258,45.0
11348,251,45.0
11407,251,45.0
11466,255,45.0
11524,255,45.0
11584,256,45.0
11643,256,7.21
11703,257,22.41
11761,260,45.0
11820,257,-33.58
11880,258,23.62
11939,253,23.62
11998,246,23.62
12057,246,23.62
12116,244,-45.0
12175,243,-22.41
12234,247,-22.41
12293,245,-22.41
12352,244,-45.0
12411,258,45.0
12471,261,45.0
12530,263,43.61
12588,265,45.0
12648,270,45.0
12707,268,-6.36
12767,268,21.65
12825,267,6.46
12884,255,6.46
12944,255,6.46
13002,248,6.46
13061,242,-45.0
13121,243,5.59
13179,243,-8.41
13239,246,-8.41
13297,247,-8.41
13356,258,45.0
13416,248,45.0
13475,261,45.0
13534,257,-45.0
13593,261,45.0
13652,264,45.0
13712,264,16.83
13770,270,45.0
13829,271,39.25
13889,265,-45.0
13947,264,2.86
14007,264,16.87
14066,264,16.88
14125,260,-43.92
14184,261,27.29
14243,254,27.29
14303,255,27.29
14361,254,27.29
14420,258,45.0
14480,254,45.0
14538,260,45.0
14597,264,45.0
14657,258,-45.0
14716,260,40.02
14775,255,40.02
14834,262,45.0
14893,247,45.0
14952,251,45.0
15011,248,45.0
