time_ms,distance_mm,beam_deg
9,276,45.0
68,406,45.0
127,403,45.0
187,405,45.0
245,409,45.0
304,391,-45.0
364,388,45.0
422,395,45.0
481,389,45.0
541,377,-14.93
599,389,45.0
659,388,45.0
718,371,-45.0
776,357,-45.0
836,367,45.0
895,373,45.0
954,356,-45.0
1013,363,45.0
1072,344,-45.0
1131,354,45.0
1190,350,45.0
1249,346,45.0
1308,343,45.0
1367,345,45.0
1427,332,-45.0
1486,333,45.0
1544,321,-45.0
1604,310,-45.0
1663,305,-2.38
1722,288,-45.0
1781,277,-45.0
1840,269,-45.0
1899,254,-45.0
1958,249,-45.0
2017,249,-45.0
2076,249,-45.0
2135,249,-45.0
2194,252,-45.0
2253,251,-45.0
2312,255,-45.0
2371,249,-45.0
2430,254,-45.0
2488,253,-45.0
2548,259,45.0
2607,253,45.0
2666,263,45.0
2725,263,15.61
2784,270,45.0
2843,266,-36.77
2902,262,-41.56
2962,262,14.44
3020,265,45.0
3079,270,45.0
3139,271,39.27
3198,275,45.0
3256,272,-15.51
3316,270,-3.9
3375,272,45.0
3434,264,-45.0
3493,264,16.93
3552,269,45.0
3611,261,-45.0
3670,270,45.0
3730,264,-45.0
3788,265,32.17
3847,260,-45.0
3907,264,45.0
3966,257,-45.0
4024,253,-45.0
4084,260,45.0
4143,259,-3.19
4202,268,45.0
4261,266,-8.77
4320,265,4.03
4379,270,45.0
4438,268,-6.35
4498,271,45.0
4556,276,45.0
4615,274,0.89
4675,278,45.0
4733,275,-11.88
4792,271,-30.67
4852,280,45.0
4910,273,-45.0
4970,262,-45.0
5029,271,45.0
5088,267,-35.42
5147,272,45.0
5206,269,-19.0
5266,273,45.0
5324,282,45.0
5383,296,45.0
5443,292,-5.33
5502,303,45.0
5560,295,-45.0
5620,298,45.0
5679,291,-45.0
5738,294,45.0
5797,288,-38.0
5856,281,-45.0
5915,286,45.0
5974,281,-32.35
6034,277,-23.13
6093,275,2.48
6151,269,-45.0
6211,263,-45.0
6270,266,45.0
6328,265,4.51
6388,269,45.0
6447,271,45.0
6506,276,45.0
6565,282,45.0
6624,280,8.57
6684,274,-45.0
6742,276,45.0
6802,271,-44.19
6861,266,-45.0
6919,265,4.63
6979,259,-45.0
7038,255,-45.0
7096,263,45.0
7156,263,15.61
7215,267,45.0
7274,270,45.0
7333,273,45.0
7392,275,45.0
7451,271,-30.73
7510,274,45.0
7570,274,28.89
7629,268,-45.0
7687,269,36.91
7747,262,-45.0
7806,259,-31.08
7864,258,-4.28
7924,253,-4.28
7983,257,45.0
8042,258,23.61
8101,266,45.0
8160,257,-45.0
8219,261,45.0
8278,259,-17.17
8338,255,-17.17
8396,259,45.0
8455,254,45.0
8515,257,45.0
8573,259,38.81
8632,253,38.81
8692,258,45.0
8750,256,-20.79
8810,259,45.0
8869,255,45.0
8927,255,45.0
8987,246,45.0
9045,248,45.0
9105,246,45.0
9164,249,45.0
9222,242,-45.0
9282,251,-45.0
9340,251,-45.0
9399,247,-45.0
9459,257,45.0
9517,257,8.41
9577,264,45.0
9636,254,45.0
9694,264,45.0
9754,275,45.0
9813,271,-30.77
9872,271,25.24
9931,270,10.05
9990,270,24.06
10050,271,39.27
10108,264,-45.0
10167,262,-13.52
10227,260,-15.91
10286,255,-15.91
10345,258,45.0
10404,257,-5.59
10463,261,45.0
10522,260,-1.98
10581,262,42.42
10641,268,45.0
10700,260,-45.0
10758,266,45.0
10818,260,-45.0
10877,258,-18.34
10936,268,45.0
10995,263,-45.0
11054,262,0.48
11114,266,45.0
11173,261,-45.0
11231,264,45.0
11291,266,45.0
11350,269,45.0
11410,270,38.12
11468,268,-6.27
11527,264,-39.06
11587,263,1.75
11646,256,-45.0
11704,256,7.35
11764,255,7.35
11822,255,7.35
11882,255,7.35
11941,258,45.0
11999,260,40.01
12059,264,45.0
12118,269,45.0
12178,267,-7.57
12236,267,20.44
12295,259,-45.0
12355,258,-4.35
12414,262,45.0
12472,256,-45.0
12532,263,45.0
12591,266,45.0
12651,259,-45.0
12709,266,45.0
12768,269,45.0
12828,266,-22.7
12887,265,4.11
12946,264,2.92
13005,259,-45.0
13064,264,45.0
13124,261,-28.66
13182,267,45.0
13242,260,-45.0
13301,268,45.0
13360,275,45.0
13419,274,14.98
13478,275,44.2
13537,286,45.0
13597,282,-17.37
13655,282,38.65
13715,283,45.0
13774,278,-36.12
13832,282,45.0
13892,279,-6.89
13951,269,-45.0
14011,267,-7.28
14069,257,-45.0
14128,247,-45.0
14188,244,-45.0
14247,242,-37.61
14305,244,20.79
14365,240,-45.0
14424,245,-45.0
14483,248,-45.0
14542,257,45.0
14601,265,45.0
14661,266,33.22
14719,277,45.0
14779,277,32.45
14838,277,32.46
14896,275,2.07
14956,280,45.0
15015,282,45.0
