time_ms,distance_mm,beam_deg
9,378,45.0
68,380,45.0
126,386,45.0
186,376,11.46
245,381,45.0
303,381,45.0
363,374,45.0
422,359,-45.0
481,372,45.0
540,360,-35.38
599,350,-19.33
658,364,45.0
717,343,-45.0
777,345,45.0
835,346,45.0
894,335,-45.0
954,342,45.0
1012,327,-45.0
1071,329,45.0
1131,324,19.88
1189,310,-45.0
1249,307,27.53
1308,299,-45.0
1367,290,-45.0
1426,279,-45.0
1485,267,-45.0
1545,260,-45.0
1603,261,28.41
1662,256,-45.0
1722,259,45.0
1780,254,45.0
1839,258,45.0
1899,266,45.0
1957,269,45.0
2017,272,45.0
2076,275,45.0
2135,267,-45.0
2194,266,5.26
2253,262,-41.53
2313,260,-15.93
2371,257,-33.52
2430,251,-33.52
2490,254,-33.52
2548,255,-33.52
2607,253,-33.52
2666,252,-33.52
2725,258,45.0
2785,255,45.0
2843,265,45.0
2902,261,-42.79
2962,256,-45.0
3020,249,-45.0
3080,248,-45.0
3139,260,45.0
3197,262,42.41
3257,256,-45.0
3316,267,45.0
3375,260,-45.0
3434,259,-3.17
3493,258,-4.36
3552,248,-4.36
3611,251,-4.36
3670,250,-4.36
3729,248,-4.36
3788,251,-4.36
3847,252,-4.36
3906,250,-4.36
3964,248,-4.36
4024,247,-4.36
4082,246,-4.36
4141,249,-4.36
4201,252,-4.36
4259,251,-4.36
4319,247,-4.36
4377,249,-4.36
4436,245,-4.36
4495,247,-4.36
4554,255,-4.36
4612,254,-4.36
4672,252,-4.36
4731,248,-4.36
4790,246,-4.36
4849,250,-4.36
4907,247,-4.36
4967,249,-4.36
5025,252,-4.36
5085,251,-4.36
5143,251,-4.36
5202,251,-4.36
5262,247,-4.36
5320,258,45.0
5379,253,45.0
5438,254,45.0
5497,252,45.0
5557,250,45.0
5615,246,45.0
5674,249,45.0
5733,244,-45.0
5792,250,-45.0
5852,247,-45.0
5910,249,-45.0
5969,256,45.0
6029,253,45.0
6087,255,45.0
6146,255,45.0
6205,249,45.0
6264,248,45.0
6324,253,45.0
6382,249,45.0
6441,257,45.0
6500,255,45.0
6559,259,45.0
6618,251,45.0
6677,251,45.0
6736,246,45.0
6796,248,45.0
6854,252,45.0
6913,241,-45.0
6972,247,-45.0
7031,245,-45.0
7091,249,-45.0
7149,251,-45.0
7208,254,-45.0
7267,253,-45.0
7326,254,-45.0
7385,263,45.0
7444,256,-45.0
7503,262,45.0
7563,260,-15.98
7622,260,12.03
7680,257,-33.57
7740,256,-6.77
7799,257,22.44
7858,257,8.44
7917,259,38.84
7976,252,38.84
8035,255,38.84
8094,253,38.84
8152,252,38.84
8212,252,38.84
8271,254,38.84
8330,254,38.84
8389,250,38.84
8447,255,38.84
8507,251,38.84
8566,262,45.0
8625,258,-45.0
8684,255,-45.0
8743,256,45.0
8802,254,45.0
8861,254,45.0
8919,249,45.0
8979,253,45.0
9038,256,45.0
9097,251,45.0
9156,251,45.0
9214,253,45.0
9274,249,45.0
9333,253,45.0
9391,249,45.0
9451,250,45.0
9509,248,45.0
9569,254,45.0
9628,255,45.0
9686,249,45.0
9746,251,45.0
9805,259,45.0
9864,254,45.0
9923,250,45.0
9981,256,45.0
10041,252,45.0
10100,249,45.0
10158,250,45.0
10218,247,45.0
10277,252,45.0
10336,253,45.0
10395,250,45.0
10453,247,45.0
10513,252,45.0
10572,248,45.0
10631,248,45.0
10690,247,45.0
10749,253,45.0
10808,251,45.0
10867,253,45.0
10926,247,45.0
10985,250,45.0
11044,246,45.0
11104,250,45.0
11162,250,45.0
11221,250,45.0
11280,250,45.0
11339,254,45.0
11399,253,45.0
11457,248,45.0
11516,252,45.0
11576,252,45.0
11634,248,45.0
11693,255,45.0
11753,251,45.0
11811,247,45.0
11871,250,45.0
11929,250,45.0
11988,253,45.0
12048,249,45.0
12106,250,45.0
12166,253,45.0
12225,249,45.0
12283,250,45.0
12343,251,45.0
12402,251,45.0
12460,249,45.0
12520,245,45.0
12578,254,45.0
12638,252,45.0
12697,251,45.0
12755,248,45.0
12815,249,45.0
12874,253,45.0
12932,250,45.0
12992,250,45.0
13051,251,45.0
13110,253,45.0
13169,249,45.0
13228,253,45.0
13287,254,45.0
13346,250,45.0
13405,250,45.0
13464,249,45.0
13523,252,45.0
13582,250,45.0
13641,250,45.0
13700,254,45.0
13759,246,45.0
13818,249,45.0
13878,250,45.0
13936,252,45.0
13995,253,45.0
14054,250,45.0
14113,250,45.0
14173,249,45.0
14231,250,45.0
14290,248,45.0
14350,247,45.0
14408,245,45.0
14467,252,45.0
14527,253,45.0
14585,246,45.0
14645,251,45.0
14704,253,45.0
14762,254,45.0
14822,251,45.0
14880,249,45.0
14940,250,45.0
14999,254,45.0
15057,247,45.0
