,test_no,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_7,mse_1_8,mse_1_9,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_8,avg_mse
0,test_1_0,13.593656082712826,"[1, 13.531928596373566]",9.446791519966858,2.9495804089077677,6.533314502011099,2.852762455507972,3.036915849682694,5.758566237775043,11.457848147139543,2.518855539974064,5.63330303356016,20.58180574845608,21.033161515374815,23.478423929278573,7.885455223076378,3.169636664418749,9.024030055366413
1,test_1_1,13.63497740173834,"[1, 13.57314002337246]",9.503642249330738,2.955478710207669,6.518789947417513,2.863832736958001,3.036110063922206,5.761918314127856,11.495449396511743,2.512216285559191,5.635722516691638,20.71810417981603,21.15046243696671,23.607563137012004,7.907377165638286,3.176199677212105,9.060204772669406
2,test_1_2,13.677346049927282,"[1, 13.615492361286067]",9.561998440762308,2.961564803394689,6.503658266383418,2.875160656849608,3.035120174165127,5.765092432981732,11.53365048797635,2.505377023447219,5.637973399349529,20.857929737958976,21.27046471975131,23.73961125099622,7.929850142728714,3.182810136626409,9.097161548097972
3,test_1_3,13.677346049927282,"[1, 13.615492361286067]",9.561998440762308,2.961564803394689,6.503658266383418,2.875160656849608,3.035120174165127,5.765092432981732,11.53365048797635,2.505377023447219,5.637973399349529,20.857929737958976,21.27046471975131,23.73961125099622,7.929850142728714,3.182810136626409,9.097161548097972
4,test_1_4,13.657522829422884,"[1, 13.59558008934446]",9.535005624433763,2.958914365025671,6.511151122259843,2.870061754449208,3.035824425651497,5.7640799198023664,11.51623973885098,2.508760673741922,5.637338898443364,20.792697450108957,21.214638131971856,23.678394380902017,7.919756878894856,3.180019436954361,9.080205914392192
5,test_1_5,9.602071271995936,"[1, 9.800382970473567]",6.424715439307835,3.642980834839152,7.721463697241834,2.644718049092363,2.907543256957926,5.549045763909103,7.540417434037653,3.693678223511832,5.568392753611106,10.203308525990815,10.657588235015822,12.158930788800912,8.02410080862408,3.126678674140932,6.418825891791526
6,test_1_6,9.533984654998845,"[1, 9.729403874102873]",6.492684714300387,3.721846496281944,7.804860106815255,2.69200127815321,2.93941871246159,5.625179924445272,7.540790147022185,3.75945855432458,5.641406980690881,10.134318058984883,10.552930829421024,12.087957202152005,8.162616903836282,3.186351138506577,6.452987217671148
7,test_1_7,9.571410097046424,"[1, 9.767392226544075]",6.45807298493329,3.680546647562782,7.764453264070514,2.667510030211357,2.924823146059969,5.588751402936924,7.54544615362289,3.725563330257769,5.606144342212176,10.17238738483156,10.610823182471856,12.131092503619826,8.091061389206178,3.156169825978057,6.437346113426796
8,test_1_8,9.491271031993586,"[1, 9.685487916275433]",6.535926876834472,3.771291409204042,7.854603267819876,2.721614929259113,2.958046090496612,5.670746605638037,7.53899646401299,3.800085727531901,5.685318408621511,10.09333723487784,10.488676743333826,12.043198121907013,8.249231288277787,3.223170911799812,6.473874577115345
9,test_1_9,9.59788778742118,"[1, 9.794281882668002]",6.434454251293517,3.651778217749018,7.736049294175395,2.650502147751567,2.914601968955246,5.5633122425064325,7.549016806627311,3.701834348323631,5.581528745881217,10.20029051698654,10.652435882020365,12.162449870867135,8.04135749327308,3.135157972785801,6.426769268514019
10,test_1_10,7.25819280176538,"[1, 7.411925099779457]",12.496634756350185,8.310902022044269,11.335527932735644,5.606005300242947,4.474394029289867,9.621728721309118,8.862432987687583,7.046408480665911,9.568630324581903,12.114170479114946,10.297932052390015,13.678793162859538,16.865987543072556,6.685087093884865,9.78318820615924
11,test_1_11,7.332123797367314,"[1, 7.412035981501538]",12.548695097400344,8.372836390560604,11.755492824601149,5.672292020027098,4.717462124266409,10.035680845857485,9.28351349778525,7.16795597479135,9.922048496924049,12.039150072104064,10.291999221851892,13.985032670388826,17.036522317573468,6.856746913847183,9.977530604855655
