test_no,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_7,mse_1_8,mse_1_9,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_4,mse_2_5,mse_2_7,mse_2_8,mse_2_9
test_1_10,7.25819280176538,"[1, 7.411925099779457]",12.496634756350183,8.310902022044269,11.335527932735644,5.606005300242947,4.474394029289867,9.621728721309118,8.862432987687583,7.046408480665911,9.568630324581903,12.114170479114946,10.297932052390017,13.678793162859538,16.865987543072556,10.555297673463432,17.095116497244632,16.53244043166672,6.685087093884865,19.863020831836643
test_1_11,7.332123797367314,"[1, 7.412035981501538]",12.548695097400344,8.372836390560604,11.755492824601147,5.672292020027098,4.717462124266409,10.035680845857483,9.28351349778525,7.16795597479135,9.922048496924049,12.039150072104063,10.291999221851892,13.985032670388826,17.036522317573468,10.740596532490502,17.243965209026978,16.867884639799797,6.856746913847183,20.62523958419868
test_1_12,7.346850129160832,"[1, 7.503712391614152]",12.068242753543027,8.025855487087373,11.139606547826881,5.42179029763579,4.377885925685467,9.370159092709779,8.72075370814242,6.85421216177005,9.318655094265072,11.822644834995199,10.130138368907506,13.390189872008026,16.301248530690973,10.599152552712852,17.050342619674087,16.389352873484647,6.46116120113083,19.757179862334723
test_1_13,7.348060051128825,"[1, 7.505203217517134]",12.06135983991864,8.02118208577755,11.135222286883339,5.41873967948123,4.375636949332948,9.364968120289879,8.717308312422217,6.850804317235397,9.313658468032301,11.818393529346988,10.127722300903786,13.384891109777236,16.291831063786898,10.599617450056718,17.049441310014146,16.38636542602695,6.457184011392811,19.753526213791936
test_1_14,7.319480988420362,"[1, 7.399152646590706]",12.609212596301951,8.413256247210333,11.782851030252656,5.69839411752554,4.730961434252382,10.07101709852261,9.303166527451973,7.195133114552958,9.957188712147216,12.08048708199426,10.315630391711435,14.025498700712296,17.11650000530639,10.733588191464577,17.24976591463128,16.887415947477102,6.888510363649695,20.639153182127124
test_1_15,5.01013423308832,"[1, 5.098528676760518]",32.240813170146986,20.70208822973621,18.341755177208604,13.487595991633222,8.538473664820984,20.224178252765714,16.996219611415977,14.944974448401565,20.48863678831845,29.99638814640345,25.377420510478498,33.50820668523598,42.363253036729354,22.364053804819285,31.00530720235615,35.89175085639952,16.754353276339273,38.780225363460595
test_1_16,5.024253795172959,"[1, 5.111882904239171]",32.05686656396701,20.5892376271742,18.294356942766495,13.417142512814177,8.506223187345167,20.136417493254175,16.91709818322154,14.876810355147777,20.393833022564063,29.80637806547727,25.190426473177208,33.287268628388205,42.126062424396764,22.182840089377063,30.818363979961962,35.64214765982917,16.662261748899606,38.54366786758771
test_1_17,5.033586696759698,"[1, 5.12286055530122]",31.9154139859563,20.49893200485209,18.239200846125755,13.360209419912614,8.470538147688885,20.05094342298879,16.8405121697457,14.81817569745356,20.305626178220706,29.667392207342303,25.055032040287124,33.111908123024854,41.93540498290316,22.05204154607518,30.680536663527118,35.45003904701996,16.583117016811293,38.343560312715766
test_1_18,5.021527224967941,"[1, 5.109880652473231]",32.08680023451102,20.60664692969204,18.297062070703173,13.427863042397457,8.508538524847976,20.14585737187382,16.92569274718498,14.886230016640285,20.405130285842,29.83915956469838,25.222958972275464,33.32160509101269,42.16240591093576,22.21442140522362,30.850225137435277,35.68248120453553,16.674984700197996,38.57705431046174
test_1_19,5.005852722672933,"[1, 5.094684455752727]",32.29484395619142,20.73489779917863,18.3538758085506,13.5080303049834,8.546906303417002,20.24823723359598,17.017979293991935,14.96439814813559,20.515024455171332,30.052907227911614,25.433235833546107,33.57265947612261,42.43213870672636,22.418220284936734,31.060869113987337,35.965180466174,16.780615939249532,38.84808374140344
test_2_0,7.332982700984136,"[1, 7.731815271661544]",11.239159771033533,7.410887720327296,9.596695773548964,5.14530052395765,3.5677246854760982,7.90280070413849,7.440671244917586,6.17835980935491,7.957998013754948,11.709688362687281,10.33288841014938,12.387669558340306,14.846235216051841,10.744970372775748,16.903821907965895,15.667363159808394,5.879359054020952,17.925149120717336
test_2_1,7.318326642609151,"[1, 7.716037468340977]",11.306998095302466,7.455873228338053,9.62876156966492,5.17418554212015,3.583142003499815,7.942858654392969,7.462862213049167,6.208996668496437,7.997818962693481,11.753760444430158,10.356949392813526,12.431406333183759,14.935386076343779,10.73470838016903,16.907598796893662,15.686875871102934,5.914084430646961,17.938261596872543
