time_ms,distance_mm,beam_deg
10,281,45.0
68,73,-45.0
127,78,-45.0
186,72,-45.0
245,72,-45.0
303,71,-45.0
363,72,-45.0
422,73,-45.0
481,76,-45.0
540,85,-45.0
598,91,-45.0
658,95,-45.0
717,103,-45.0
775,108,-45.0
835,117,-34.74
894,128,6.4
953,136,-26.06
1012,150,45.0
1071,165,45.0
1130,180,45.0
1189,196,45.0
1249,212,45.0
1307,218,44.15
1366,229,45.0
1426,236,45.0
1484,242,45.0
1543,238,-45.0
1603,241,29.72
1661,242,2.92
1721,233,-45.0
1780,228,-45.0
1839,220,-45.0
1898,212,-45.0
1957,209,-45.0
2017,212,-5.18
2075,208,-45.0
2134,215,45.0
2194,216,-28.43
2252,225,45.0
2311,223,-45.0
2371,228,41.93
2429,228,-28.08
2489,235,45.0
2548,236,-4.5
2606,241,45.0
2666,244,33.1
2725,244,-8.91
2784,252,-8.91
2843,250,-8.91
2902,244,-45.0
2961,241,-45.0
3020,235,-45.0
3079,230,-45.0
3138,236,45.0
3197,232,-45.0
3257,236,39.15
3315,240,43.95
3374,237,-45.0
3434,240,29.94
3493,244,45.0
3552,241,-45.0
3611,251,-45.0
3669,252,-45.0
3729,251,-45.0
3788,249,-45.0
3846,242,-45.0
3906,224,-45.0
3965,206,-45.0
4024,189,-45.0
4083,176,-45.0
4142,165,-45.0
4201,158,-45.0
4260,151,-45.0
4320,150,-45.0
4379,149,-45.0
4437,157,0.01
4497,164,-5.63
4556,171,2.73
4614,182,45.0
4674,197,45.0
4733,204,42.24
4792,213,45.0
4851,221,45.0
4910,221,-35.41
4969,224,10.18
5028,224,-31.83
5088,219,-45.0
5146,217,-45.0
5205,213,-45.0
5265,210,-45.0
5323,208,-45.0
5382,219,45.0
5442,217,-45.0
5501,226,45.0
5560,232,45.0
5619,237,45.0
5678,237,-16.39
5737,245,45.0
5796,243,-37.19
5856,240,-45.0
5914,242,17.6
5973,239,-45.0
6033,236,-45.0
6092,233,-45.0
6150,231,-45.0
6210,222,-45.0
6269,219,-45.0
6328,190,-45.0
6387,169,-45.0
6446,149,-45.0
6505,131,-45.0
6564,119,-45.0
6624,106,-45.0
6683,106,-45.0
6741,99,-45.0
6801,99,-45.0
6860,96,-45.0
6918,98,-45.0
6978,100,-45.0
7037,102,-45.0
7096,107,-45.0
7155,111,-45.0
7214,116,-45.0
7273,124,-41.18
7332,134,-1.24
7392,143,-4.49
7450,161,45.0
7509,178,45.0
7569,193,45.0
7627,204,45.0
7686,214,45.0
7746,224,45.0
7804,231,45.0
7864,229,-45.0
7923,236,45.0
7982,234,-45.0
8041,234,-21.5
8100,230,-45.0
8160,224,-45.0
8218,216,-45.0
8277,211,-45.0
8337,208,-45.0
8395,208,-45.0
8454,206,-45.0
8514,207,-40.04
8573,212,21.94
8632,222,45.0
8691,223,-20.89
8750,235,45.0
8809,229,-45.0
8868,230,-12.51
8928,230,-26.52
8986,236,45.0
9045,236,-19.34
9105,240,41.46
9163,239,-29.75
9222,253,45.0
9282,289,45.0
9341,314,45.0
9400,343,45.0
9459,363,45.0
9518,384,45.0
9577,383,45.0
9636,416,45.0
9696,421,45.0
9754,415,45.0
9813,402,-1.53
9873,386,-45.0
9932,393,45.0
9990,386,45.0
10050,371,-45.0
10109,377,45.0
10168,367,-1.14
10227,353,-45.0
10286,351,45.0
10346,339,-45.0
10404,330,-31.36
10464,315,-45.0
10523,301,-45.0
10582,290,-45.0
10641,290,45.0
10700,282,-45.0
10759,282,37.17
10819,289,45.0
10877,292,45.0
10937,300,45.0
10996,302,45.0
11055,314,45.0
11114,311,30.13
11173,312,45.0
11233,322,45.0
11292,308,-45.0
11350,316,45.0
11410,321,45.0
11469,309,-45.0
11528,317,45.0
11587,314,33.99
11646,308,-15.18
11706,309,45.0
11765,307,39.67
11823,308,45.0
11883,308,45.0
11942,295,-45.0
12002,296,45.0
12060,297,45.0
12119,298,45.0
12179,291,-45.0
12238,293,45.0
12296,295,45.0
12356,297,45.0
12415,290,-45.0
12475,287,1.95
12533,283,-16.83
12592,270,-45.0
12652,254,-45.0
12711,229,-45.0
12770,215,-45.0
12829,201,-45.0
12888,188,-45.0
12948,181,-45.0
13006,171,-45.0
13066,166,-45.0
13125,162,-45.0
13183,163,-45.0
13243,165,-45.0
13302,165,-45.0
13361,173,18.77
13420,175,-45.0
13479,184,45.0
13539,186,-45.0
13598,195,45.0
13656,202,39.42
13716,207,17.39
13775,217,45.0
13835,222,35.36
13893,228,45.0
13952,224,-45.0
14012,225,-17.07
14071,220,-45.0
14129,220,-37.1
14189,212,-45.0
14248,212,-45.0
14308,206,-45.0
14366,209,-8.38
14425,210,-35.2
14485,210,-45.0
14543,215,26.76
14603,217,-12.86
14662,223,45.0
14721,231,45.0
14780,237,45.0
14839,247,45.0
14898,244,-45.0
14958,243,-23.69
15016,249,-23.69
15076,251,-23.69
15135,247,-45.0
15193,243,-45.0
15253,243,-8.41
15312,245,21.99
15372,230,-45.0
15430,206,-45.0
15489,178,-45.0
15549,151,-45.0
15608,125,-45.0
15666,111,-45.0
15726,96,-45.0
15785,86,-45.0
15844,75,-45.0
15903,67,-45.0
15962,64,-45.0
16022,62,-45.0
16080,57,-45.0
16140,60,-45.0
16199,62,-45.0
16257,64,-45.0
16317,67,-45.0
16376,70,-45.0
16434,74,-45.0
16494,82,-45.0
16553,88,-45.0
16613,97,-45.0
16671,104,-45.0
16730,117,20.59
16790,129,20.92
16848,145,45.0
16908,163,45.0
16967,182,45.0
17026,196,45.0
17085,204,45.0
17144,213,45.0
17204,226,45.0
17263,228,-0.5
17321,226,-45.0
17381,222,-45.0
17440,218,-45.0
17499,214,-45.0
17558,218,15.43
17617,217,-45.0
17677,225,45.0
17736,222,-45.0
17794,223,-20.63
17854,227,26.16
17913,234,45.0
17973,234,-21.46
18031,244,45.0
18090,247,36.14
18150,253,45.0
18209,255,31.74
18267,257,34.15
18327,259,36.55
18386,252,36.55
18445,257,45.0
18504,262,45.0
18563,262,14.42
18623,265,45.0
18681,268,45.0
18741,257,-45.0
18800,258,23.64
18859,248,23.64
18918,223,-45.0
18977,185,-45.0
19036,148,-45.0
19096,106,-45.0
19154,78,-45.0
19214,47,-45.0
19273,28,-45.0
19331,22,-45.0
19391,23,-45.0
19450,33,-45.0
19509,41,-45.0
19568,41,-45.0
19627,50,-45.0
19686,62,-45.0
19745,71,-45.0
19804,84,-18.58
19864,95,-33.46
19922,113,45.0
19982,127,45.0
20041,150,45.0
20099,172,45.0
20159,190,45.0
20218,201,45.0
20278,219,45.0
20336,225,45.0
20395,233,45.0
20455,243,45.0
20514,249,45.0
20572,252,45.0
20632,250,45.0
20691,258,45.0
20750,252,45.0
20809,251,45.0
20868,258,45.0
20927,257,-5.59
20986,250,-5.59
21045,248,-5.59
21104,245,-45.0
21163,251,-45.0
21223,247,-45.0
21281,247,-3.6
21340,249,-3.6
21400,258,45.0
21458,260,40.01
21518,271,45.0
21577,283,45.0
21636,288,45.0
21695,287,30.47
21754,299,45.0
21814,298,43.72
21873,291,-45.0
21931,294,45.0
21991,287,-45.0
22050,293,45.0
22109,277,-45.0
22168,275,2.23
22227,272,-15.36
22287,259,-45.0
22346,257,-19.35
22404,257,8.65
22464,254,-36.94
22523,257,45.0
22583,257,8.66
22641,265,45.0
22700,269,45.0
22760,273,45.0
22818,292,45.0
22877,286,-40.47
22937,289,45.0
22996,293,45.0
23055,288,-24.01
23114,283,-29.99
23173,282,24.82
23233,264,-45.0
23292,247,-45.0
23351,225,-45.0
23410,200,-45.0
23469,185,-45.0
23528,168,-45.0
23587,155,-45.0
23647,139,-45.0
23706,131,-45.0
23764,129,-45.0
23824,122,-45.0
23883,120,-45.0
23942,119,-45.0
24001,123,-45.0
24060,125,-45.0
24120,133,-28.69
24179,135,-45.0
24237,144,-1.6
24297,155,39.56
24356,164,22.31
24416,182,45.0
24474,187,-6.15
24533,194,30.22
24593,193,-45.0
24652,199,22.17
24710,200,-45.0
24770,204,0.12
24829,200,-45.0
24888,204,0.07
24947,202,-45.0
25006,209,45.0
