time_ms,distance_mm,beam_deg
9,224,-45.0
68,75,-45.0
127,73,-45.0
185,73,-45.0
245,76,-45.0
303,78,-45.0
363,83,-45.0
422,84,-45.0
480,87,-45.0
540,92,-45.0
598,94,-45.0
658,99,-45.0
717,106,-45.0
775,112,-45.0
835,122,-14.74
894,131,-18.0
952,143,38.35
1012,154,37.5
1071,170,45.0
1130,184,45.0
1189,199,45.0
1248,206,43.78
1308,219,45.0
1366,224,37.35
1426,225,-17.46
1485,225,-31.47
1543,224,-45.0
1603,214,-45.0
1662,210,-45.0
1720,208,-45.0
1780,216,45.0
1839,215,-45.0
1898,215,-43.6
1957,219,17.19
2016,220,-23.63
2076,224,23.16
2134,224,-32.85
2194,229,43.14
2253,227,-45.0
2311,225,-45.0
2371,225,-31.7
2430,226,-16.51
2488,229,15.08
2548,227,-45.0
2607,228,-14.14
2667,225,-45.0
2725,225,-31.77
2784,217,-45.0
2844,221,19.4
2902,221,-36.61
2962,226,39.37
3021,225,-45.0
3079,223,-45.0
3139,228,41.74
3198,229,-13.07
3257,230,-11.88
3316,232,4.51
3375,229,-45.0
3435,231,3.29
3493,226,-45.0
3552,228,-0.34
3612,220,-45.0
3670,221,-22.77
3730,218,-45.0
3789,214,-45.0
3847,220,45.0
3907,217,-45.0
3966,221,19.15
4025,221,-36.86
4084,224,8.73
4143,221,-45.0
4203,224,8.7
4261,226,-2.91
4320,228,-0.52
4380,228,-28.53
4438,225,-45.0
4498,229,28.64
4557,226,-45.0
4615,226,-30.98
4675,226,-30.99
4734,229,14.6
4792,237,45.0
4852,236,-33.02
4911,240,41.78
4970,236,-45.0
5029,235,-34.24
5088,232,-45.0
5148,233,-8.65
5206,252,-8.65
5266,266,45.0
5324,292,45.0
5383,303,45.0
5443,316,45.0
5502,339,45.0
5560,348,45.0
5620,351,45.0
5679,376,45.0
5738,369,45.0
5797,375,45.0
5856,373,45.0
5915,376,45.0
5974,377,45.0
6034,367,1.06
6093,372,45.0
6151,366,45.0
6211,369,45.0
6270,351,-45.0
6328,350,45.0
6388,343,14.59
6447,329,-45.0
6507,320,-40.94
6565,300,-45.0
6624,295,-14.89
6684,285,-45.0
6742,281,-17.66
6802,284,45.0
6861,281,-3.62
6919,282,45.0
6979,281,24.41
7038,288,45.0
7097,289,45.0
7156,286,2.47
7215,290,45.0
7275,288,18.9
7333,282,-44.28
7392,288,45.0
7452,282,-44.24
7510,286,45.0
7570,281,-31.41
7629,288,45.0
7688,290,45.0
7747,280,-45.0
7806,291,45.0
7865,290,35.48
7924,292,45.0
7983,286,-39.28
8043,293,45.0
8101,297,45.0
8160,287,-45.0
8220,294,45.0
8279,290,-6.37
8338,291,45.0
8397,279,-45.0
8456,278,21.28
8515,275,-10.31
8574,272,-13.9
8633,265,-45.0
8692,266,34.92
8751,262,-39.88
8811,263,31.33
8870,266,45.0
8928,269,45.0
8988,269,24.55
9047,275,45.0
9106,284,45.0
9165,289,45.0
9224,282,-45.0
9284,283,45.0
9342,279,-19.35
9401,281,45.0
9461,285,45.0
9519,280,-32.1
