time_ms,distance_mm,beam_deg
9,231,-45.0
68,60,-45.0
127,58,-45.0
186,59,-45.0
245,58,-45.0
304,63,-45.0
363,65,-45.0
422,72,-45.0
480,78,-45.0
540,86,-45.0
599,91,-45.0
658,96,-45.0
717,106,-33.86
775,115,-37.13
835,127,19.21
894,138,18.35
953,148,16.3
1012,165,45.0
1071,178,45.0
1131,195,45.0
1189,205,45.0
1248,220,45.0
1308,222,-7.06
1366,227,40.93
1426,231,31.72
1485,230,-39.49
1543,231,-10.3
1603,220,-45.0
1662,217,-45.0
1721,212,-45.0
1780,209,-45.0
1839,213,10.01
1899,216,-0.4
1957,225,45.0
2016,227,-1.23
2076,230,16.36
2134,239,45.0
2194,217,-45.0
2253,191,-45.0
2311,162,-45.0
2371,134,-45.0
2430,107,-45.0
2489,89,-45.0
2548,71,-45.0
2607,55,-45.0
2666,41,-45.0
2725,30,-45.0
2784,20,-45.0
2843,20,-45.0
2902,25,-45.0
2962,23,-45.0
3020,20,-45.0
3079,19,-45.0
3139,27,-45.0
3197,33,-45.0
3257,40,-45.0
3316,52,-45.0
3374,63,-45.0
3434,79,15.17
3493,88,-45.0
3551,102,14.61
3611,122,45.0
3670,134,24.89
3729,150,45.0
3788,169,45.0
3847,190,45.0
3906,206,45.0
3965,213,45.0
4025,219,42.71
4084,230,45.0
4142,236,45.0
4202,233,-45.0
4261,234,-9.32
4319,231,-45.0
4379,226,-45.0
4438,223,-45.0
4497,220,-45.0
4556,219,-45.0
4615,213,-45.0
4674,222,45.0
4733,220,-45.0
4793,224,20.55
4852,227,10.14
4910,224,-45.0
4970,231,45.0
5029,226,-45.0
5087,227,-17.9
5147,229,-1.52
5206,227,-45.0
5265,229,-1.54
5324,228,-44.75
5383,223,-45.0
5442,221,-45.0
5501,221,-39.19
5561,223,-8.8
5619,220,-45.0
5678,221,-25.23
5738,220,-45.0
5797,224,20.34
5855,222,-45.0
5915,223,-22.89
5974,230,45.0
6033,225,-45.0
6092,227,-4.12
6151,225,-45.0
6210,222,-45.0
6269,216,-45.0
6329,215,-45.0
6387,215,-45.0
6446,221,44.58
6506,220,-45.0
6565,225,35.36
6623,222,-45.0
6683,224,-7.87
6742,229,40.12
6801,229,-29.89
6860,233,30.9
6919,227,-45.0
6978,230,13.28
7037,232,1.67
7097,227,-45.0
7155,225,-45.0
7214,221,-45.0
7274,218,-45.0
7332,215,-45.0
7391,217,-16.42
7451,213,-45.0
7510,222,45.0
7569,219,-45.0
7628,221,-11.68
7687,224,5.9
7746,227,9.49
7805,227,-32.52
7865,227,-32.53
7923,227,-32.54
7982,227,-32.55
8042,225,-45.0
8100,225,-34.98
8159,224,-45.0
8219,224,-36.2
8277,227,9.38
8337,232,43.38
8396,222,-45.0
8454,235,45.0
8514,225,-45.0
8573,231,45.0
8632,220,-45.0
8691,219,-45.0
8750,214,-45.0
8809,208,-45.0
8868,202,-45.0
8927,202,-45.0
8986,199,-45.0
9045,201,-36.04
9105,204,-18.46
9164,203,-45.0
9222,207,-0.9
9282,209,-26.52
9341,216,45.0
9400,221,29.84
9459,224,5.43
9518,222,-45.0
9577,222,-39.0
9636,220,-45.0
9695,219,-45.0
9754,218,-45.0
9813,223,32.14
9873,223,-37.87
9931,224,-22.68
9990,224,-36.7
10050,227,8.89
10109,228,-17.92
10168,228,-31.93
10227,230,-1.54
10286,231,-14.35
10345,231,-28.36
10404,239,45.0
10463,241,11.63
10523,241,-16.37
10581,254,45.0
10641,260,45.0
10700,281,45.0
10759,293,45.0
10818,299,45.0
10877,314,45.0
10937,319,45.0
10996,313,-13.81
11054,335,45.0
11114,332,45.0
11173,339,45.0
11232,341,45.0
11291,331,-45.0
11350,339,45.0
11410,333,10.49
11469,321,-45.0
11527,331,45.0
11587,329,45.0
11646,314,-45.0
11706,311,26.27
11764,316,45.0
11823,307,-45.0
11883,308,45.0
11942,302,-26.41
12000,297,-18.39
12060,296,36.44
12119,295,35.26
12179,300,45.0
12237,291,-45.0
12296,290,29.32
12356,288,12.94
12415,289,45.0
12474,293,45.0
12533,284,-45.0
12592,285,45.0
12652,288,45.0
12710,295,45.0
12769,286,-45.0
12829,292,45.0
12888,286,-45.0
12947,279,-45.0
13006,271,-45.0
13065,281,45.0
13125,296,45.0
13183,309,45.0
13243,339,45.0
13302,338,45.0
13361,347,45.0
13420,353,45.0
13479,361,45.0
13539,363,45.0
13598,363,45.0
13656,363,45.0
13716,362,45.0
13775,368,45.0
13834,354,-45.0
13893,355,45.0
13952,352,45.0
14012,345,12.34
14071,336,-26.42
14129,330,8.42
14189,322,-29.14
14248,314,-38.71
14308,300,-45.0
14366,280,-45.0
14425,281,45.0
14485,283,45.0
14543,285,45.0
14602,292,45.0
14662,284,-45.0
14721,290,45.0
14780,284,-45.0
14839,288,45.0
14898,289,45.0
14958,284,-32.49
15016,292,45.0
15076,291,31.95
15135,287,-14.83
15194,291,45.0
15253,287,-14.79
15312,279,-45.0
15371,283,45.0
15431,282,21.26
15489,283,45.0
15549,291,45.0
15608,295,45.0
15667,291,-9.86
15726,299,45.0
15785,290,-45.0
15845,290,45.0
15904,293,45.0
15962,287,-42.56
16022,265,-45.0
16081,240,-45.0
16141,216,-45.0
16199,189,-45.0
16258,166,-45.0
16318,144,-45.0
16377,121,-45.0
16435,110,-45.0
16495,95,-45.0
16554,90,-45.0
16613,79,-45.0
16672,75,-45.0
16731,75,-45.0
16790,72,-45.0
16849,76,-45.0
16909,74,-45.0
16968,81,-45.0
17026,83,-45.0
17086,89,-45.0
17145,101,-15.04
17203,110,-45.0
17263,122,10.03
17322,134,24.37
17382,153,45.0
17440,168,45.0
17499,184,45.0
17559,199,45.0
17618,207,45.0
17677,216,45.0
17736,218,-15.03
17795,222,17.75
17855,225,7.34
17913,224,-45.0
17972,223,-45.0
18032,221,-45.0
18090,220,-45.0
18150,224,20.07
18209,228,24.86
18268,229,-15.95
18327,238,45.0
18386,240,11.24
18446,244,44.04
18505,246,18.44
18563,255,45.0
18623,261,45.0
18682,257,-45.0
18741,254,-41.95
18800,261,45.0
18859,264,45.0
18919,259,-45.0
18978,262,45.0
19036,264,40.08
19096,261,-33.52
19155,262,23.69
19215,265,45.0
19273,261,-45.0
19332,264,45.0
19392,267,45.0
19451,260,-45.0
19509,267,45.0
19569,260,-45.0
19628,257,-38.26
19688,257,3.74
19746,253,-45.0
19805,253,-1.05
19865,256,44.55
19923,256,2.55
19983,261,45.0
20042,262,23.76
20101,268,45.0
20160,282,45.0
20219,281,18.61
20278,277,-28.18
20338,272,-45.0
20396,294,45.0
20456,310,45.0
20515,321,45.0
20574,338,45.0
20633,352,45.0
20692,349,45.0
20752,354,45.0
20811,355,45.0
20869,351,45.0
20929,370,45.0
20988,367,45.0
21048,368,45.0
21106,367,45.0
21165,360,30.11
21225,362,45.0
21284,368,45.0
21342,366,45.0
21402,361,45.0
21461,372,45.0
21521,361,-24.35
21579,361,45.0
21638,358,45.0
21698,364,45.0
21757,348,-45.0
21816,353,45.0
21875,353,45.0
21934,342,-45.0
21994,346,45.0
22052,335,-45.0
22111,323,-45.0
22171,324,45.0
22230,310,-45.0
22289,296,-45.0
22348,286,-45.0
22407,267,-45.0
22467,262,-45.0
22525,256,-45.0
22585,254,-26.13
22644,252,-26.13
22703,255,45.0
22762,256,21.21
