time_ms,distance_mm,beam_deg
9,165,-45.0
67,376,45.0
127,357,-45.0
185,363,45.0
244,366,45.0
304,357,2.64
362,372,45.0
421,368,45.0
481,367,45.0
539,366,45.0
599,383,45.0
658,387,45.0
716,383,45.0
776,389,45.0
835,377,-14.79
893,386,45.0
953,378,42.55
1012,378,45.0
1071,379,45.0
1130,368,-11.27
1189,372,45.0
1248,369,45.0
1307,349,-45.0
1367,344,44.15
1425,337,7.79
1484,319,-45.0
1544,321,45.0
1603,301,-45.0
1661,293,-45.0
1721,282,-45.0
1780,273,-45.0
1839,265,-45.0
1898,261,-41.25
1957,262,29.96
2017,255,-45.0
2075,261,45.0
2135,264,45.0
2194,270,45.0
2252,280,45.0
2312,279,22.41
2371,284,45.0
2429,292,45.0
2489,290,21.67
2548,290,45.0
2608,294,45.0
2666,291,8.93
2725,287,-9.85
2785,282,-29.83
2843,277,-35.82
2903,271,-45.0
2962,252,-45.0
3020,237,-45.0
3080,223,-45.0
3139,209,-45.0
3197,202,-45.0
3257,196,-45.0
3316,201,11.08
3375,198,-45.0
3434,205,43.84
3493,206,-38.99
3553,209,-7.41
3611,213,11.37
3671,216,0.96
3730,229,45.0
3788,235,45.0
3848,244,45.0
3907,253,45.0
3965,255,33.74
4025,256,20.94
4084,261,45.0
4143,265,45.0
4202,264,2.56
4261,267,45.0
4320,264,-25.42
4379,255,-45.0
4439,261,45.0
4498,250,45.0
4556,254,45.0
4616,250,45.0
4674,251,45.0
4733,243,-45.0
4793,244,6.79
4852,237,-45.0
4911,228,-45.0
4970,232,34.37
5029,220,-45.0
5088,229,45.0
5147,224,-45.0
5207,229,44.72
5265,235,45.0
5324,243,45.0
5384,253,45.0
5442,260,45.0
5501,262,42.32
5561,271,45.0
5620,269,-5.26
5679,278,45.0
5738,268,-45.0
5797,267,6.37
5856,269,45.0
5915,262,-45.0
5975,253,-45.0
6033,233,-45.0
6092,216,-45.0
6152,199,-45.0
6210,188,-45.0
6269,179,-45.0
6329,172,-45.0
6388,168,-45.0
6447,163,-45.0
6506,161,-45.0
6565,159,-45.0
6624,161,-45.0
6683,162,-45.0
6743,167,-30.07
6801,166,-45.0
6860,172,-10.15
6920,181,42.61
6979,178,-45.0
7037,193,45.0
7097,198,6.92
7156,209,45.0
7215,211,-19.52
7274,218,45.0
7333,222,21.65
7392,236,45.0
7451,233,-45.0
7511,240,45.0
7569,250,45.0
7628,253,45.0
7688,247,-45.0
7746,253,45.0
7805,254,18.8
7865,253,-10.39
7924,244,-45.0
7983,240,-45.0
8042,239,-27.21
8101,237,-43.62
8160,235,-45.0
8219,238,27.57
8279,249,27.57
8337,246,-45.0
8396,257,45.0
8456,265,45.0
8514,269,45.0
8573,278,45.0
8633,281,45.0
8692,280,22.06
8751,276,-24.72
8810,276,31.29
8869,275,16.1
8928,275,30.11
8987,275,30.13
9047,271,-30.66
9105,264,-45.0
9164,257,-45.0
9224,247,-45.0
9282,235,-45.0
9341,218,-45.0
9401,198,-45.0
9460,181,-45.0
9519,174,-45.0
9578,164,-45.0
9637,155,-45.0
9696,150,-45.0
9755,147,-45.0
9815,149,-45.0
9873,144,-45.0
9932,142,-45.0
9992,144,-45.0
10051,145,-45.0
10109,148,-45.0
10169,154,-31.73
10228,157,-45.0
10288,163,-21.02
10346,168,-29.06
10405,173,-23.1
10465,182,43.67
10524,190,39.24
10583,199,45.0
10642,210,45.0
10701,215,27.17
10761,227,45.0
10819,227,-28.45
10879,236,45.0
10938,242,45.0
10996,239,-45.0
11056,237,-44.47
11115,241,44.32
11174,242,3.52
11233,240,-40.89
11292,242,17.51
11352,236,-45.0
11411,244,45.0
11469,243,-23.3
11529,244,5.89
11588,247,37.49
11648,249,37.49
11706,255,45.0
11765,254,-9.2
11825,254,4.81
11883,253,-10.39
11942,253,3.61
12002,251,3.61
12060,247,-45.0
12120,248,-45.0
12179,243,-45.0
12238,243,-8.41
12297,245,21.99
12356,255,45.0
12416,254,-9.21
12474,265,45.0
12533,259,-45.0
12593,260,26.01
12652,272,45.0
12710,272,26.43
12770,267,-45.0
12829,268,35.65
12889,257,-45.0
12947,260,45.0
13006,252,45.0
13066,250,45.0
13124,243,-45.0
13184,238,-45.0
13243,230,-45.0
13302,225,-45.0
13361,216,-45.0
13420,209,-45.0
13479,209,-45.0
13538,213,11.49
13597,216,1.07
13657,222,45.0
13716,229,45.0
13774,238,45.0
13834,248,45.0
13893,254,45.0
13952,260,45.0
14011,252,45.0
14070,257,45.0
14130,251,45.0
14188,247,-45.0
14247,246,-18.8
14307,235,-45.0
14365,235,-18.02
14425,224,-45.0
14484,226,-0.84
14543,220,-45.0
14602,223,9.53
14661,221,-45.0
14721,227,45.0
14779,235,45.0
14838,234,-33.31
14898,244,45.0
14957,249,45.0
15015,252,45.0
15075,265,45.0
15134,265,18.01
15193,263,-12.38
15252,266,45.0
15311,256,-45.0
15371,258,37.64
15429,253,-45.0
15489,249,-45.0
15548,245,-45.0
15607,245,-6.01
15666,239,-45.0
15725,238,-28.42
15784,250,-28.42
15843,251,-28.42
15902,259,45.0
15962,268,45.0
16020,268,21.62
16079,266,-8.77
16139,227,-45.0
16198,198,-45.0
16257,162,-45.0
16316,128,-45.0
16375,103,-45.0
