time_ms,distance_mm,beam_deg
8,106,-45.0
67,104,-45.0
126,106,-45.0
184,106,-45.0
244,108,-45.0
302,110,-45.0
362,117,-45.0
421,126,-45.0
479,135,-45.0
539,144,-45.0
597,161,-45.0
656,178,-45.0
715,189,-45.0
774,208,-42.0
834,221,-29.0
892,247,-3.0
951,253,3.0
1010,280,30.0
1069,302,45.0
1127,313,45.0
1187,326,45.0
1246,340,45.0
1305,353,45.0
1364,356,45.0
1422,354,45.0
1482,373,45.0
1541,381,45.0
1600,376,45.0
1659,389,45.0
1718,374,45.0
1777,384,45.0
1836,386,45.0
1894,371,45.0
1954,383,45.0
2013,375,45.0
2072,368,45.0
2131,363,45.0
2189,369,45.0
2249,362,45.0
2308,364,45.0
2367,353,45.0
2426,352,45.0
2485,331,45.0
2544,326,45.0
2603,311,45.0
2661,300,45.0
2721,287,37.0
2780,272,22.0
2839,260,10.0
2898,238,-12.0
2957,215,-35.0
3016,195,-45.0
3075,184,-45.0
3134,165,-45.0
3193,154,-45.0
3252,142,-45.0
3311,133,-45.0
3370,128,-45.0
3428,124,-45.0
3488,125,-45.0
3547,124,-45.0
3606,128,-45.0
3665,135,-45.0
3723,142,-45.0
3783,152,-45.0
3842,162,-45.0
3900,172,-45.0
3960,184,-45.0
4019,199,-45.0
4078,208,-42.0
4137,223,-27.0
4195,242,-8.0
4255,259,9.0
4314,272,22.0
4373,293,43.0
4432,309,45.0
4490,324,45.0
4550,337,45.0
4609,344,45.0
4667,350,45.0
4727,360,45.0
4785,368,45.0
4845,372,45.0
4904,358,45.0
4962,358,45.0
5022,360,45.0
5081,359,45.0
5140,359,45.0
5199,353,45.0
5257,358,45.0
5317,340,45.0
5376,338,45.0
5434,346,45.0
5494,322,45.0
5553,319,45.0
5612,316,45.0
5671,303,45.0
5729,292,42.0
5789,273,23.0
5848,265,15.0
5907,248,-2.0
5966,237,-13.0
6024,215,-35.0
6084,198,-45.0
6143,186,-45.0
6201,170,-45.0
6261,164,-45.0
6320,151,-45.0
6379,149,-45.0
6438,138,-45.0
6496,141,-45.0
6556,139,-45.0
6615,144,-45.0
6673,149,-45.0
6733,156,-45.0
6791,165,-45.0
6851,171,-45.0
6910,179,-45.0
6968,188,-45.0
7028,202,-45.0
7086,210,-40.0
7146,222,-28.0
7205,239,-11.0
7263,252,2.0
7323,267,17.0
7382,284,34.0
7440,301,45.0
7500,308,45.0
7558,323,45.0
7618,331,45.0
7677,334,45.0
7735,349,45.0
7795,346,45.0
7853,359,45.0
7913,339,45.0
7972,349,45.0
8030,354,45.0
8090,350,45.0
8149,348,45.0
8207,348,45.0
8267,338,45.0
8325,342,45.0
8385,325,45.0
8444,311,45.0
8502,312,45.0
8562,299,45.0
8621,285,35.0
8679,273,23.0
8739,260,10.0
8797,247,-3.0
8857,232,-18.0
8916,211,-39.0
8974,198,-45.0
9034,187,-45.0
9092,176,-45.0
9152,165,-45.0
9211,159,-45.0
9269,154,-45.0
9329,152,-45.0
9387,150,-45.0
9446,153,-45.0
9506,158,-45.0
9564,162,-45.0
9624,166,-45.0
9683,168,-45.0
9741,174,-45.0
9801,184,-45.0
9859,192,-45.0
9919,199,-45.0
9978,207,-43.0
10036,224,-26.0
10096,231,-19.0
10155,245,-5.0
10213,257,7.0
10273,279,29.0
10331,286,36.0
10391,306,45.0
10450,315,45.0
10508,328,45.0
10568,324,45.0
10627,335,45.0
10687,339,45.0
10745,334,45.0
10804,337,45.0
10863,331,45.0
10922,340,45.0
10981,332,45.0
11040,327,45.0
11099,328,45.0
11159,323,45.0
11217,312,45.0
11276,305,45.0
11336,299,45.0
11394,284,34.0
11454,273,23.0
11513,267,17.0
11571,249,-1.0
11631,238,-12.0
11690,224,-26.0
11748,206,-44.0
11808,195,-45.0
11867,184,-45.0
11926,177,-45.0
11985,169,-45.0
12044,165,-45.0
12103,161,-45.0
12162,163,-45.0
12222,166,-45.0
12280,168,-45.0
12339,169,-45.0
12399,175,-45.0
12457,179,-45.0
12516,186,-45.0
12576,194,-45.0
12634,204,-45.0
12694,212,-38.0
12753,219,-31.0
12811,243,-7.0
12871,252,2.0
12930,263,13.0
12988,278,28.0
13048,300,45.0
13107,303,45.0
13166,317,45.0
13225,330,45.0
13284,333,45.0
13343,329,45.0
13402,335,45.0
13462,332,45.0
13520,345,45.0
13579,333,45.0
13639,331,45.0
13697,333,45.0
13756,326,45.0
13816,321,45.0
13874,312,45.0
13934,312,45.0
13993,303,45.0
14051,289,39.0
14111,280,30.0
14170,268,18.0
14229,260,10.0
14288,244,-6.0
14347,228,-22.0
14406,216,-34.0
14465,199,-45.0
14524,189,-45.0
14583,178,-45.0
14642,170,-45.0
14702,165,-45.0
14760,158,-45.0
14819,160,-45.0
14879,158,-45.0
14937,163,-45.0
14997,165,-45.0
15056,168,-45.0
