time_ms,distance_mm,beam_deg
9,237,-45.0
68,63,-45.0
127,60,-45.0
185,61,-45.0
245,65,-45.0
304,69,-45.0
363,73,-45.0
422,77,-45.0
480,86,-45.0
540,93,-45.0
599,106,8.32
657,116,-21.75
717,126,-9.81
776,139,45.0
835,163,45.0
894,178,45.0
953,194,45.0
1012,209,45.0
1071,216,45.0
1131,223,45.0
1189,225,-3.24
1248,229,29.55
1308,233,34.35
1366,225,-45.0
1425,232,45.0
1485,222,-45.0
1543,222,-34.9
1603,219,-45.0
1662,208,-45.0
1721,210,-21.36
1780,205,-45.0
1839,207,-25.0
1899,206,-45.0
1957,211,21.75
2016,216,27.74
2076,221,33.72
2134,226,39.71
2193,228,0.1
2253,231,17.69
2311,228,-45.0
2371,228,-27.93
2430,227,-43.14
2489,225,-45.0
2548,227,-1.17
2607,227,-29.18
2667,228,-13.99
2725,232,32.8
2784,232,-23.21
2844,241,45.0
2902,241,-12.42
2961,248,-12.42
3021,251,-12.42
3079,248,-12.42
3139,259,45.0
3198,265,45.0
3256,265,18.02
3316,268,45.0
3375,270,45.0
3434,274,45.0
3493,277,45.0
3552,264,-45.0
3611,277,45.0
3670,270,-45.0
3729,269,8.9
3789,262,-45.0
3847,260,-15.89
3907,264,45.0
3966,262,-13.47
4024,259,-31.07
4084,260,26.14
4143,261,27.34
4202,266,45.0
4261,269,45.0
4320,268,7.77
4380,274,45.0
4438,270,-31.81
4497,276,45.0
4557,270,-45.0
4615,271,39.43
4675,267,-35.37
4734,270,45.0
4792,272,45.0
4852,267,-45.0
4911,265,-9.73
4971,271,45.0
5029,260,-45.0
5088,267,45.0
5148,263,-40.1
5206,265,45.0
5265,267,45.0
5325,276,45.0
5383,269,-45.0
5443,275,45.0
5502,274,15.16
5561,274,29.18
5620,281,45.0
5679,272,-45.0
5739,271,11.61
5797,271,25.62
5856,265,-45.0
5916,270,45.0
5974,269,9.25
6033,266,-22.34
6093,265,4.47
6152,269,45.0
6211,274,45.0
6270,277,45.0
6329,282,45.0
6388,285,45.0
6447,281,-18.25
6507,282,45.0
6565,276,-45.0
6624,276,31.79
6684,276,31.8
6743,272,-28.98
6801,266,-45.0
6861,259,-45.0
6920,269,45.0
6979,260,-45.0
7038,258,-17.75
7097,263,45.0
7157,267,45.0
7215,279,45.0
7275,284,45.0
7334,286,45.0
7392,294,45.0
7452,292,23.15
7511,285,-45.0
7569,285,42.79
7629,281,-17.99
7688,281,38.02
7747,273,-45.0
7806,272,13.24
7865,275,45.0
7925,272,-14.73
7983,262,-45.0
8043,269,45.0
8102,271,45.0
8160,265,-45.0
8220,266,34.11
8279,265,4.92
8339,270,45.0
8397,268,-5.47
8456,275,45.0
8516,273,0.56
8574,272,13.37
8633,271,12.18
8693,272,41.39
8751,273,42.6
8811,268,-45.0
8870,274,45.0
8929,269,-45.0
8988,264,-45.0
9047,270,45.0
9107,262,-45.0
9165,260,-14.94
9224,262,43.47
9284,265,45.0
9343,267,45.0
9401,267,21.49
9461,272,45.0
9520,274,45.0
9579,272,-0.47
9638,272,27.54
9697,276,45.0
9756,270,-45.0
9815,272,45.0
9875,259,-45.0
9933,263,45.0
9992,260,-28.81
10052,255,-28.81
10110,254,-28.81
10169,250,-28.81
10229,252,-28.81
10287,248,-28.81
10347,252,-28.81
10406,249,-28.81
10464,247,-28.81
10524,253,-28.81
10583,256,45.0
10643,256,7.21
10701,257,22.41
10760,265,45.0
10820,262,-27.58
10879,271,45.0
10937,265,-45.0
10997,267,45.0
11056,267,20.46
11115,271,45.0
11174,268,-20.32
11233,267,6.49
11293,264,-25.11
11351,261,-28.7
11411,265,45.0
11470,266,33.31
11529,270,45.0
11588,269,8.93
11647,272,45.0
11706,275,45.0
11766,280,45.0
11824,277,-9.41
11884,280,45.0
11943,282,45.0
12002,281,23.43
12061,280,22.25
12120,277,-9.34
12180,272,-43.33
12239,267,-45.0
12297,264,-24.91
12357,263,1.89
12416,266,45.0
12475,276,45.0
12534,279,45.0
12593,290,45.0
12653,284,-42.83
12712,292,45.0
12770,294,45.0
12830,291,7.63
12889,283,-45.0
12949,283,40.06
13007,269,-45.0
13066,266,-22.32
13126,264,-10.71
13185,266,45.0
13243,267,34.9
13303,270,45.0
13362,274,45.0
13422,279,45.0
13480,281,45.0
13539,279,7.37
13599,279,35.38
13657,279,35.4
13717,275,-25.39
13776,265,-45.0
13835,265,18.63
13894,258,-45.0
13953,261,45.0
14012,265,45.0
14072,256,-45.0
14130,264,45.0
14190,264,17.46
14249,266,45.0
14308,270,45.0
14367,274,45.0
14426,275,44.7
14486,273,0.31
14545,271,-2.07
14603,274,45.0
14663,272,-0.85
14722,270,-3.24
14782,267,-20.83
14840,259,-45.0
14899,264,45.0
14959,265,32.79
15018,274,45.0
