time_s,servo_angle,ball_position
0,45,378
1.63374727252656e-06,45,377.999999999985
9.80248363515934e-06,45,377.999999999459
5.06461654483232e-05,45,377.999999985562
0.000254864574514143,45,377.999999634387
0.00127595661984324,45,377.99999083621
0.00497624120874237,45,377.999860618178
0.01,45,377.999437136235
0.02,45,377.995301635465
0.03,45,377.981311393134
0.04,45,377.948403494106
0.05,45,377.886097652995
0.06,45,377.783800949946
0.07,45,377.630734850933
0.08,45,377.416110843667
0.09,45,377.129358537568
0.1,45,376.760536776946
0.11,45,376.301211214015
0.12,45,375.745001667531
0.13,45,375.087367881336
0.14,45,374.325167378939
0.15,45,373.456280380109
0.16,45,372.479282803136
0.17,45,371.393211508737
0.18,45,370.197408736994
0.19,45,368.891419607172
0.2,45,367.474925332064
0.21,45,365.947699315644
0.22,45,364.309578036337
0.23,45,362.560441543135
0.24,45,360.700200276321
0.25,2.32788287555179,358.728786092393
0.26,2.33825575416104,356.64661821399
0.27,2.34862863277029,354.456079666235
0.28,2.35900151137952,352.162307162797
0.29,2.36937438998876,349.77216826795
0.3,-45,347.293281393759
0.31,-45,344.727277756572
0.32,-45,342.073143018284
0.33,-45,339.331139563007
0.34,-45,336.503786921091
0.35,-45,333.597668318421
0.36,-45,330.617211538658
0.37,-45,327.567375596549
0.38,-45,324.455208652294
0.39,-45,321.287259892515
0.4,-45,318.070595705223
0.41,-45,314.813524201815
0.42,-45,311.524740720246
0.43,-45,308.213490856253
0.44,-45,304.889692546042
0.45,-45,301.563611346861
0.46,-45,298.245714592645
0.47,-45,294.946551821427
0.48,-45,291.676615545756
0.49,-45,288.446294073978
0.5,-45,285.265885687513
0.51,-45,282.145603971597
0.52,-45,279.09545641902
0.53,-45,276.124850928249
0.54,-45,273.241983161426
0.55,-45,270.453387187335
0.56,-45,267.76391466035
0.57,-45,265.176992306579
0.58,-45,262.694953037429
0.59,-45,260.319348750033
0.6,-45,258.051197818775
0.61,-45,255.891162933456
0.62,-45,253.839672432871
0.63,-45,251.897001032565
0.64,-45,250.063322947316
0.65,-42.2009683359981,248.338746723976
0.66,-42.2009683359981,246.723124754708
0.67,-42.2009683359981,245.215655974133
0.68,-42.2009683359981,243.815050557807
0.69,-42.2009683359981,242.520160108978
0.7,-45,241.330162182374
0.71,-45,240.244655097343
0.72,-45,239.264016148317
0.73,-45,238.389187043267
0.74,-45,237.621056809762
0.75,-45,236.960285385447
0.76,-45,236.407354562411
0.77,-45,235.962600892319
0.78,-45,235.626261206822
0.79,-45,235.398500464759
0.8,-34.6866414522489,235.279434710091
0.81,-34.6876135087779,235.268482824383
0.82,-34.6885855653069,235.363094802122
0.83,-34.6895576218359,235.558957396373
0.84,-34.6905296783648,235.85187452038
0.85,3.42043842712126,236.238647256606
0.86,3.41956229184692,236.719376130553
0.87,3.41868615657259,237.291817905629
0.88,3.41781002129824,237.948418526493
0.89,3.41693388602391,238.681746920919
0.9,39.3040909559672,239.48318731295
0.91,39.3035392746985,240.345185193947
0.92,39.3029875934298,241.254705109957
0.93,39.3024359121611,242.196086666923
0.94,39.3018842308924,243.159653623259
0.95,45,244.133494144691
0.96,45,245.103346984744
0.97,45,246.056041800608
0.98,45,246.97966349513
0.99,45,247.862778627441
1,12.6285957066741,248.693990884769
1.01,12.6285957066741,249.465559232815
1.02,12.6285957066741,250.182621479696
1.03,12.6285957066741,250.854433361521
1.04,12.6285957066741,251.484234567162
1.05,0.497513732342275,252.074081856586
1.06,0.497513732342275,252.626276508565
1.07,0.497513732342275,253.145606770703
1.08,0.497513732342275,253.639236441857
1.09,0.497513732342275,254.114471832027
1.1,0.497513732342275,254.577248625943
1.11,0.497513732342275,255.031937356395
1.12,0.497513732342275,255.481586522368
1.13,0.497513732342275,255.928262488781
1.14,0.497513732342275,256.373348160653
1.15,28.1275100913238,256.817762918354
1.16,28.1276918676157,257.260656973093
1.17,28.1278736439075,257.697715909318
1.18,28.1280554201993,258.121042094066
1.19,28.1282371964912,258.520816256604
1.2,34.1281049357537,258.886734419665
1.21,34.1284936091957,259.209266865163
1.22,34.1288822826376,259.479261029277
1.23,34.1292709560796,259.687597201959
1.24,34.1296596295216,259.826602951064
1.25,20.4190450459063,259.890326377645
1.26,20.4195340785441,259.875187491774
1.27,20.4200231111818,259.781514228817
1.28,20.4205121438196,259.613031936686
1.29,20.4210011764574,259.374378036665
1.3,-6.09702474016851,259.070048250175
1.31,-6.09661773534349,258.704652727205
1.32,-6.09621073051847,258.284883008153
1.33,-6.09580372569345,257.820625149246
1.34,-6.09539672086844,257.322879776073
1.35,-29.0814171834295,256.802263957283
1.36,-29.0812369570338,256.268815648805
1.37,-29.081056730638,255.732738929562
1.38,-29.0808765042423,255.205803157231
1.39,-29.0806962778466,254.699925831853
1.4,-24.725948101655,254.225986561346
1.41,-24.725948101655,253.794422576907
1.42,-24.725948101655,253.413441990192
1.43,-24.725948101655,253.08809350444
1.44,-24.725948101655,252.821615592849
1.45,0.505747300303837,252.616109401686
1.46,0.505747300303837,252.470774661287
1.47,0.505747300303837,252.380873590623
1.48,0.505747300303837,252.33826582946
1.49,0.505747300303837,252.33302025038
1.5,0.505747300303837,252.355390396236
1.51,0.505747300303837,252.39659603247
1.52,0.505747300303837,252.449760571584
1.53,0.505747300303837,252.509867062085
1.54,0.505747300303837,252.573409709642
1.55,0.505747300303837,252.637979316434
1.56,0.505747300303837,252.701933437165
1.57,0.505747300303837,252.764158261737
1.58,0.505747300303837,252.823906887971
1.59,0.505747300303837,252.880689306166
1.6,0.505747300303837,252.934196960743
1.61,0.505747300303837,252.984249898142
1.62,0.505747300303837,253.030759153584
1.63,0.505747300303837,253.073699616925
1.64,0.505747300303837,253.113090332322
1.65,0.505747300303837,253.148980167004
1.66,0.505747300303837,253.181437418843
1.67,0.505747300303837,253.210542331729
1.68,0.505747300303837,253.236381762646
1.69,0.505747300303837,253.259045436638
1.7,0.505747300303837,253.278623367336
1.71,0.505747300303837,253.295204126256
1.72,0.505747300303837,253.308873724109
1.73,0.505747300303837,253.319714928193
1.74,0.505747300303837,253.327806886115
1.75,0.505747300303837,253.333224960975
1.76,0.505747300303837,253.336040709305
1.77,0.505747300303837,253.336321952532
1.78,0.505747300303837,253.334132907114
1.79,0.505747300303837,253.329534348978
1.8,0.505747300303837,253.322583795538
1.81,0.505747300303837,253.313335693999
1.82,0.505747300303837,253.301841608578
1.83,0.505747300303837,253.288150401962
1.84,0.505747300303837,253.272308408232
1.85,0.505747300303837,253.254359595774
1.86,0.505747300303837,253.234345719558
1.87,0.505747300303837,253.212306462728
1.88,0.505747300303837,253.188279567798
1.89,0.505747300303837,253.162300957973
1.9,0.505747300303837,253.134404849209
1.91,0.505747300303837,253.104623853687
1.92,0.505747300303837,253.072989075373
1.93,0.505747300303837,253.039530198332
1.94,0.505747300303837,253.004275568409
1.95,0.505747300303837,252.967252268863
1.96,0.505747300303837,252.928486190481
1.97,0.505747300303837,252.888002096675
1.98,0.505747300303837,252.845823683988
1.99,0.505747300303837,252.801973638415
2,0.505747300303837,252.756473687913
2.01,0.505747300303837,252.709344651402
2.02,0.505747300303837,252.660606484578
2.03,0.505747300303837,252.61027832278
2.04,0.505747300303837,252.558378521165
2.05,0.505747300303837,252.504924692398
2.06,0.505747300303837,252.449933742058
2.07,0.505747300303837,252.393421901927
2.08,0.505747300303837,252.335404761335
2.09,0.505747300303837,252.275897296694
2.1,0.505747300303837,252.214913899357
2.11,0.505747300303837,252.152468401924
2.12,0.505747300303837,252.088574103098
2.13,0.505747300303837,252.023243791203
2.14,0.505747300303837,251.95648976644
2.15,0.505747300303837,251.888323861971
2.16,0.505747300303837,251.818757463922
2.17,0.505747300303837,251.747801530341
2.18,0.505747300303837,251.675466609221
2.19,0.505747300303837,251.601762855602
2.2,0.505747300303837,251.526700047851
2.21,0.505747300303837,251.45028760313
2.22,0.505747300303837,251.372534592134
2.23,0.505747300303837,251.29344975312
2.24,0.505747300303837,251.213041505276
2.25,0.505747300303837,251.131317961472
2.26,0.505747300303837,251.048286940417
2.27,0.505747300303837,250.963955978268
2.28,0.505747300303837,250.878332339707
2.29,0.505747300303837,250.791423028526
2.3,0.505747300303837,250.703234797748
2.31,0.505747300303837,250.613774159289
2.32,0.505747300303837,250.523047393215
2.33,0.505747300303837,250.431060556589
2.34,0.505747300303837,250.337819491939
2.35,0.505747300303837,250.243329835373
2.36,0.505747300303837,250.147597024346
2.37,0.505747300303837,250.050626305102
2.38,0.505747300303837,249.952422739807
2.39,0.505747300303837,249.852991213393
2.4,0.505747300303837,249.752336440112
2.41,0.505747300303837,249.650462969832
2.42,0.505747300303837,249.547375194073
2.43,0.505747300303837,249.443077351802
2.44,0.505747300303837,249.337573534999
2.45,0.505747300303837,249.230867693995
2.46,0.505747300303837,249.122963642611
2.47,0.505747300303837,249.013865063081
2.48,0.505747300303837,248.903575510795
2.49,0.505747300303837,248.792098418852
2.5,0.505747300303837,248.679437102435
2.51,0.505747300303837,248.565594763026
2.52,0.505747300303837,248.450574492451
2.53,0.505747300303837,248.334379276773
2.54,0.505747300303837,248.217012000046
2.55,0.505747300303837,248.098475447911
2.56,0.505747300303837,247.978772311074
2.57,0.505747300303837,247.85790518864
2.58,0.505747300303837,247.735876591334
2.59,0.505747300303837,247.612688944594
2.6,0.505747300303837,247.488344591552
2.61,0.505747300303837,247.362845795909
2.62,0.505747300303837,247.236194744699
2.63,0.505747300303837,247.108393550954
2.64,0.505747300303837,246.979444256274
2.65,0.505747300303837,246.849348833299
2.66,0.505747300303837,246.718109188096
2.67,0.505747300303837,246.585727162456
2.68,0.505747300303837,246.452204536112
2.69,0.505747300303837,246.317543028873
2.7,0.505747300303837,246.181744302685
2.71,0.505747300303837,246.044809963617
2.72,0.505747300303837,245.906741563777
2.73,0.505747300303837,245.767540603158
2.74,0.505747300303837,245.62720853142
2.75,0.505747300303837,245.485746749612
2.76,0.505747300303837,245.343156611823
2.77,0.505747300303837,245.199439426791
2.78,0.505747300303837,245.054596459438
2.79,0.505747300303837,244.908628932366
2.8,-3.11887468492033,244.761538027288
2.81,-3.1188985311176,244.613712020384
2.82,-3.11892237731487,244.466678797301
2.83,-3.11894622351214,244.322823800085
2.84,-3.11897006970941,244.184201839836
2.85,-10.5621576563383,244.052220174761
2.86,-10.5622524343208,243.928572164596
2.87,-10.5623472123033,243.816697480499
2.88,-10.5624419902859,243.721358592136
2.89,-10.5625367682684,243.646657158672
