time_s,nonlinear,linearized
0,100,100
1.33967276347178e-06,100,100
8.03803658083066e-06,100,100
4.15298556676251e-05,100,100.000000000009
0.000208988951101597,100.000000000187,100.000000005461
0.00104628442827146,100.000000116638,100.000003409723
0.00395487769946324,100.000023302799,100.000681223181
0.00941988633924763,100.00072012913,100.021054518137
0.0185683989323391,100.01014534834,100.297051544484
0.0322465455301735,100.08264783938,102.441879440232
0.04238620905281,100.225516468351,106.760413166132
0.0423862090528105,100.225516468351,106.760413166132
0.042513885745578,100.227977086812,106.835805750546
0.0425138857455785,100.227977086812,106.835805750546
0.0616096999953255,100.800648095031,124.764345465692
0.09452927064101,102.742504433861,186.702236512118
0.131552291919862,106.370051967071,303.287197375686
0.154394957035594,109.370572028573,399.999999999995
0.154394957035596,109.370572028573,400
0.159973075633674,110.191674026934,400
0.159973075633676,110.191674026935,400
0.197976080942225,116.709074788349,400
0.198536567707958,116.817246554826,400
0.19853656770796,116.817246554827,400
0.229297072391097,123.291026997315,400
0.263062219887569,131.611791549695,400
0.300715866695556,142.390016699594,400
0.342175109637791,156.086156914532,400
0.390923409005829,174.641835118757,400
0.454475554394678,202.81132483158,400
0.505672122219703,228.779369470063,400
0.50567212221971,228.779369470066,399.999999999956
0.528732258874131,241.430632040686,245.317055658905
0.528732258874138,241.43063204069,245.317055658854
0.55875930310855,258.744977585199,15.0141714617544
0.560579867244489,259.820493935439,4.58300064565265e-13
0.560579867244496,259.820493935443,0
0.573882338656992,267.749309992898,0
0.573882338656999,267.749309992902,0
0.597350827743687,281.960366025183,0
0.597350827743694,281.960366025187,0
0.629252294273084,301.424161374867,0
0.66179404091872,320.955412103058,0
0.683964336946351,333.800310472892,0
0.683964336946358,333.800310472896,0
0.721376808030822,354.272619973669,0
0.76530782067802,376.319685732706,0
0.817679108007493,399.790823329777,0
0.818178702918616,399.999999999997,0
0.818178702918623,400,0
0.81817870291863,400,0
0.863862388342115,400,0
0.9095460737656,400,0
0.956470892520518,400,0
1.01008611527501,400,0
1.07700182963098,400,0
1.11512565502692,400,0
1.11512565502693,400,1.70530256582424e-13
1.14406357405935,400,304.717899409083
1.15256443895614,400,400
1.15256443895615,400,400
1.18150235798857,400,400
1.20038520863346,400,400
1.20038520863347,400,400
1.22804165487104,400,400
1.22804165487105,400,400
1.25569810110861,400,400
1.28335454734618,400,400
1.32414736595066,400,400
1.36853402439717,400,400
1.42300958092776,400,400
1.50050191755463,400,400
1.56869778236905,400,400
1.56869778236907,400,400
1.56869778236909,399.999999999994,400
1.61761231918265,378.199580273573,400
1.66652685599622,353.731378228357,400
1.7163455292852,326.068700847075,400
1.77305759441244,291.210171807041,400
1.83662541561271,247.875094373782,400
1.83662541561272,247.875094373772,400
1.90799109841258,194.809461394951,400
1.95994187811725,156.267201559261,400
1.95994187811726,156.26720155925,400
2.01452390723429,118.594628424749,400
2.01452390723432,118.59462842473,399.999999999566
2.03965425049821,102.366422078636,4.63842297904193e-10
2.03965425049824,102.366422078618,0
2.06478459376213,86.8423757153814,0
2.0671911504942,85.3926916659387,0
2.06719115049423,85.3926916659216,0
2.08951612702221,72.2521771736208,0
2.08951612702224,72.2521771736044,0
2.11184110355022,59.6673833132853,0
2.1341660800782,47.6383100849472,0
2.17161990972825,28.705766980382,0
2.21031903339594,10.7867203858681,0
2.23555764029259,1.16564535801444e-11,0
2.23555764029262,0,0
2.27931803461959,0,0
2.32307842894655,0,0
2.37006429670154,0,0
2.42306259756941,0,0
2.48875364616043,0,0
2.59351452673928,0,0
2.69383684305165,0,0
2.8219565743878,0,0
2.97693796223345,0,0
2.97693796223348,1.16955334306112e-11,0
3.02642909212071,21.8211568656267,0
3.07592022200794,46.3733611251752,0
3.09468215213633,56.3949348849997,0
3.09468215213635,56.3949348850151,1.30739863379858e-12
3.11525895056316,67.8371861918536,399.999999999437
3.11525895056318,67.8371861918697,400
3.11525895056321,67.8371861918858,400
3.13583574899001,79.751533264657,400
3.15641254741682,92.1379761033596,400
3.17086569157135,101.120472120925,400
3.17086569157138,101.120472120943,400
3.19824356260836,118.774039960177,400
3.19824356260838,118.774039960196,400
3.22562143364536,137.263352912684,400
3.25299930468234,156.588410978423,400
3.29383998457046,186.969628338915,400
3.33823290554588,222.102792698156,400
3.38582186517054,262.205700669634,400
3.38582186517057,262.205700669658,400
3.44036346347137,310.759322370543,400
3.48846637067707,353.587263531093,400
3.4884663706771,353.587263531118,400
3.5430079689779,399.458272850836,400
3.54367656296878,399.999999999977,400
3.54367656296881,400,400
3.59821816126961,400,400
3.64213086654803,400,400
3.68460179619705,400,400
3.73361736492105,400,400
3.79384930709557,400,400
3.88886827497804,400,400
3.97913432876706,400,400
4.09043615260643,400,400
4.2597966096062,400,400
4.39347603160633,400,400
4.47579282383122,400,400
4.47579282383128,400,399.999999999978
4.49190843425382,400,1.42517819767818e-09
4.49190843425387,400,0
4.50802404467641,400,0
4.52392272273967,400,0
4.52392272273973,400,0
4.54003833316227,400,0
4.54608120629648,400,0
4.54608120629654,400,0
4.56219681671908,400,0
4.57831242714162,400,0
4.6105436479867,400,0
4.64843622274481,400,0
4.68955110874909,400,0
4.73747235234008,400,0
4.79852273687068,400,0
4.87409602703004,400,0
4.95651525765692,400,0
4.99636939349835,400,0
4.99636939349841,400,0
4.99636939349847,399.999999999954,0
5.0423975866089,361.541775581775,0
5.08842577971932,320.721320231645,0
5.13134690600572,280.527966409227,0
5.18003125046494,232.451355246924,0
5.18607841802563,226.295159335397,0
5.18607841802569,226.295159335339,0
5.24487270779315,165.112159760579,0
5.2727385750791,136.263097031912,0
5.27273857507915,136.263097031853,0
5.33153286484662,78.0584989365489,0
5.39032715461408,23.7081944599693,0
5.41737406734759,8.86046791492845e-12,0
5.41737406734765,0,0
5.46195290838142,0,0
5.50653174941519,0,0
5.54765983975003,0,0
5.59447986791834,0,0
5.65072157859478,0,0
5.73011920016872,0,0
5.82207454392241,0,0
5.92087127135555,0,0
6.04724964104475,0,0
6.04724964104481,0,3.18323145620525e-12
6.06133563597844,0,399.999999998379
6.0613356359785,0,400
6.07542163091213,0,400
6.08950762584577,0,400
6.11767961571303,0,400
6.12005331469939,0,400
6.12005331469945,0,400
6.14736470330014,0,400
6.14736470330019,0,400
6.17467609190088,0,400
6.20198748050157,0,400
6.24280829016963,0,400
6.28717072555956,0,400
6.34167896490235,0,400
6.41868106585133,0,400
6.49704651752253,0,400
6.58994974252557,0,400
6.73809900555407,0,400
6.89432999424598,0,400
6.96263027968659,0,400
6.96263027968665,4.19220214098459e-13,400
7.00768998342207,39.949950059015,400
7.0527496871575,82.1637684421897,400
7.09507654498161,123.87942072615,400
7.14283486238234,173.346640931202,400
7.20017934743933,236.103130484882,400
7.24093618924164,282.935534114559,400
7.2409361892417,282.935534114625,400
7.30009825971176,353.264851567278,400
7.3170593527374,373.294641600409,400
7.31705935273746,373.294641600476,400
7.34008467363091,399.999999999937,400
7.34008467363097,400,400
7.36310999452443,400,400
7.38613531541788,400,400
7.42493832481271,400,400
7.46439617433323,400,400
7.50818767223719,400,400
7.55986683212332,400,400
7.62824839294194,400,400
7.72440719431634,400,400
7.81224750113368,400,400
7.92340786169481,400,400
7.92340786169489,400,399.999999999997
7.93522214323554,400,7.7875483839307e-12
7.93522214323559,400,0
7.94703642477624,400,0
7.95885070631689,400,0
7.96938826661967,400,0
7.96938826661973,400,0
7.99149314946563,400,0
7.99149314946569,400,0
8.01359803231159,400,0
8.03570291515749,400,0
8.07321126000106,400,0
8.11195141742448,400,0
8.15577983539965,400,0
8.20843864554831,400,0
8.2824183221383,400,0
8.35964493843271,400,0
8.44926059854848,400,0
8.58140331330041,400,0
8.74057868813345,400,0
8.86820040742698,400,0
8.99582212672051,400,0
9.16162350803178,400,0
9.29055910662981,400,0
9.39746591954278,400,0
9.3974659195429,399.999999999879,0
9.4396756555705,350.592618434956,0
9.4818853915981,299.198685630664,0
9.52163717749984,248.981116911957,0
9.55496426181361,205.521941067114,0
9.55496426181373,205.521941066963,0
9.59921525620851,146.338831808413,0
9.62224992333147,115.613772934938,0
9.62224992333158,115.613772934788,0
9.66650091772636,58.1312863057808,0
9.71075191212114,2.83213563792493,0
9.71306629665466,1.38783207148663e-10,0
9.71306629665477,0,0
9.75494074923992,0,0
9.79681520182507,0,0
9.83522684445492,0,0
9.87826753401457,0,0
9.92882126386985,0,0
9.99382853343154,0,0
9.99382853343165,0,4.22869561589323e-09
10.0045057833746,0,399.999999995751
10.0045057833747,0,400
