time_ms,distance_mm,beam_deg
9,283,45.0
68,68,-45.0
126,71,-45.0
186,68,-45.0
244,64,-45.0
303,64,-45.0
363,66,-45.0
421,74,-45.0
481,80,-45.0
539,88,-45.0
598,94,-45.0
658,105,-20.94
716,115,-23.01
775,129,45.0
835,145,45.0
893,160,45.0
953,172,45.0
1012,188,45.0
1070,200,45.0
1130,203,-15.68
1189,212,45.0
1248,220,45.0
1307,224,23.47
1366,229,43.46
1426,227,-45.0
1484,233,45.0
1543,226,-45.0
1603,227,-14.98
1661,231,31.81
1721,228,-45.0
1780,224,-45.0
1838,224,-32.63
1898,229,43.36
1957,230,-11.45
2017,235,45.0
2075,236,-4.26
2134,245,-4.26
2193,250,-4.26
2252,252,-4.26
2310,250,-4.26
2370,255,-4.26
2429,252,-4.26
2488,255,-4.26
2547,251,-4.26
2605,264,45.0
2665,253,45.0
2724,254,45.0
2783,257,45.0
2842,247,45.0
2900,255,45.0
2960,253,45.0
3019,255,45.0
3077,256,45.0
3137,254,45.0
3196,258,45.0
3255,253,45.0
3314,254,45.0
3372,251,45.0
3432,249,45.0
3491,254,45.0
3550,245,45.0
3609,243,-45.0
3668,240,-45.0
3727,240,-12.01
3786,245,-12.01
3845,243,-45.0
3904,247,-45.0
3963,247,-45.0
4022,250,-45.0
4081,254,-45.0
4140,249,-45.0
4199,259,45.0
4258,255,45.0
4318,259,45.0
4376,259,10.81
4435,251,10.81
4494,248,10.81
4553,250,10.81
4612,257,45.0
4671,250,45.0
4730,249,45.0
4789,250,45.0
4848,241,-45.0
4907,241,-10.81
4967,236,-45.0
5025,236,-16.82
5084,239,28.77
5144,236,-45.0
5202,242,45.0
5262,241,-24.84
5321,248,-24.84
5379,245,-24.84
5439,250,-24.84
5497,253,-24.84
5557,258,45.0
5616,255,45.0
5674,264,45.0
5734,256,-45.0
5793,257,22.41
5852,261,45.0
5911,256,-45.0
5970,260,45.0
6030,253,45.0
6088,250,45.0
6147,252,45.0
6206,239,-45.0
6265,237,-43.61
6325,234,-45.0
6384,227,-45.0
6442,230,17.96
6502,232,6.35
6561,238,45.0
6619,243,45.0
6679,247,45.0
6738,249,45.0
6797,251,45.0
6856,249,45.0
6914,253,45.0
6974,250,45.0
7032,249,45.0
7092,251,45.0
7151,247,45.0
7209,248,45.0
7269,248,45.0
7327,253,45.0
7386,245,45.0
7446,250,45.0
7504,252,45.0
7564,249,45.0
7622,250,45.0
7681,248,45.0
7741,248,45.0
7799,248,45.0
7859,247,45.0
7917,252,45.0
7976,243,-45.0
8036,247,-45.0
8094,247,-45.0
8153,247,-45.0
8212,245,-45.0
8271,253,-45.0
8331,251,-45.0
8389,250,-45.0
8448,250,-45.0
8507,247,-45.0
8566,253,-45.0
8625,254,-45.0
8684,248,-45.0
8743,253,-45.0
8802,254,-45.0
8861,248,-45.0
8920,250,-45.0
8979,255,-45.0
9038,250,-45.0
9097,248,-45.0
9156,248,-45.0
9215,250,-45.0
9274,256,45.0
9333,250,45.0
9392,251,45.0
9451,256,45.0
9510,247,45.0
9569,253,45.0
9628,250,45.0
9687,241,-45.0
9746,244,34.79
9805,239,-45.0
9865,235,-45.0
9924,237,12.37
9982,238,-0.43
10042,241,31.16
10101,244,34.76
10159,250,34.76
10219,250,34.76
10278,246,34.76
10337,245,34.76
10396,238,-45.0
10455,250,-45.0
10514,244,-45.0
10573,246,-45.0
10633,248,-45.0
10691,249,-45.0
10750,253,-45.0
10810,253,-45.0
10868,262,45.0
10927,258,-45.0
10987,256,-20.79
11045,262,45.0
11105,250,45.0
11164,252,45.0
11223,258,45.0
11282,262,45.0
11341,253,45.0
11401,257,45.0
11459,259,38.81
11518,249,38.81
11578,245,38.81
11636,240,-45.0
11695,235,-45.0
11755,221,-45.0
11814,217,-45.0
11873,219,-9.26
11932,216,-45.0
11991,220,19.91
12051,223,9.5
12109,226,13.08
12169,231,45.0
12228,239,45.0
12287,240,1.86
12346,242,18.26
12405,238,-45.0
12464,235,-45.0
12523,236,-2.96
12582,231,-45.0
12642,236,45.0
12701,235,-32.18
12759,237,12.21
12819,240,29.8
12878,243,33.4
12938,257,45.0
12996,257,8.21
13055,262,45.0
13115,261,-0.98
13173,259,-17.38
13232,253,-17.38
13292,249,-17.38
13350,247,-17.38
13410,244,-45.0
13469,241,-45.0
13528,241,-10.81
13587,240,-26.02
13646,242,18.38
13706,244,20.78
13765,244,-7.23
13823,251,-7.23
13883,251,-7.23
13941,255,-7.23
14000,253,-7.23
14060,253,-7.23
14118,254,-7.23
14178,259,45.0
14237,256,-34.79
14295,259,45.0
14355,258,-4.38
14414,257,-5.58
14474,257,8.42
14532,254,8.42
14591,253,8.42
14650,252,8.42
14709,247,8.42
14768,248,8.42
14827,252,8.42
14886,250,8.42
14945,254,8.42
15004,249,8.42
