time_s,nonlinear,linearized
0,100,100
4.68081150084797e-07,99.999999999953,99.9999999986074
2.80848690050878e-06,99.9999999983069,99.9999999498651
1.45105156526287e-05,99.9999999548035,99.9999986616765
7.30206594132283e-05,99.9999988554617,99.9999661088025
0.000365571378216226,99.999971313127,99.9991505461562
0.00182832497223122,99.9992824608176,99.9787527760229
0.00914209294230616,99.9820596833754,99.4687650028047
0.01,99.9785346072487,99.3643831323248
0.0142895352884692,99.9624571760248,98.8886998249645
0.02,99.9483096171655,98.4714997334176
0.03,99.9260334224613,97.8117387563144
0.04,99.8889117219962,96.7022177892448
0.05,99.8844165354795,96.6306454206571
0.06,99.9286892623101,98.0551745675377
0.07,99.9864292505693,99.9212492683789
0.08,100.107333559293,103.887440801521
0.09,100.298533757815,110.181666665549
0.1,100.532789388133,117.98930411249
0.11,100.851304465878,128.606703051462
0.12,101.248382214425,142.098318755797
0.13,101.715317217923,158.23248723224
0.14,102.285046710999,177.759375955425
0.15,102.943116260953,200.589112294221
0.16,103.689525867785,226.721696248627
0.17,104.547435380045,256.478664443034
0.18,105.504547999453,288.82134804326
0.19,106.560863726008,323.749747049306
0.2,107.728150738122,361.98698643674
0.209737393188319,108.961730416377,399.999999999993
0.209737393188321,108.961730416377,400
0.21,108.996194497988,400
0.211313034058397,109.16963307924,400
0.217878204350383,110.065660838427,400
0.22,110.365523625475,400
0.23,111.846352658391,400
0.24,113.43163907939,400
0.25,115.121382888472,400
0.26,116.922626602983,400
0.27,118.831655702799,400
0.28,120.84847018792,400
0.29,122.976784578471,400
0.3,125.216281692092,400
0.31,127.566961528784,400
0.32,130.029141270905,400
0.33,132.602820918455,400
0.34,135.288000471434,400
0.35,138.084679929843,400
0.36,140.99285929368,400
0.37,144.012538562946,400
0.38,147.143717737641,400
0.39,150.386396817765,400
0.4,153.740575803319,400
0.41,157.206254694301,400
0.42,160.783433490712,400
0.43,164.472112192552,400
0.44,168.272290799822,400
0.45,172.18396931252,400
0.46,176.207147730647,400
0.47,180.341826054203,400
0.48,184.588004283189,400
0.49,188.945682417603,400
0.5,193.414860457446,400
0.50303632440671,194.793915124069,400
0.503036324406717,194.793915124072,400
0.51,197.995538402718,368.626169412296
0.52,202.68771625342,321.326575684762
0.53,207.49139400955,270.402597717229
0.54,212.406571671109,215.854235509695
0.55,217.433249238098,157.681489062162
0.56,222.571426710515,95.8843583746283
0.57,227.821104088361,30.4826412546182
0.574482319896862,230.210367166723,3.19744231092045e-12
0.574482319896869,230.210367166727,0
0.58,233.182281371636,0
0.59,238.650922481938,0
0.6,244.218447106759,0
0.61,249.875469844317,0
0.62,255.612027054955,0
0.63,261.417608674796,0
0.64,267.281190968834,0
0.65,273.191270304633,0
0.66,279.135899002159,0
0.67,285.102725144255,0
0.68,291.079038409135,0
0.69,297.05182357293,0
0.7,303.007822721597,0
0.71,308.93360681853,0
0.72,314.815657410051,0
0.73,320.640460104459,0
0.74,326.394612982557,0
0.75,332.064954845137,0
0.76,337.638719280393,0
0.77,343.10531332794,0
0.78,348.460407470058,0
0.79,353.704001706747,0
0.8,358.836096038006,0
0.81,363.856690463837,0
0.82,368.765784984239,0
0.83,373.563379599211,0
0.84,378.249474308755,0
0.85,382.82406911287,0
0.86,387.287164011555,0
0.87,391.638759004812,0
0.88,395.87885409264,0
0.889981710356933,399.999999999997,0
0.889981710356941,400,0
0.89,400,0
0.890091448215298,400,0
0.890548689291785,400,0
0.892834894674222,400,0
0.9,400,0
0.91,400,0
0.92,400,0
0.93,400,0
0.94,400,0
0.95,400,0
0.96,400,0
0.97,400,0
0.98,400,0
0.99,400,0
1,400,0
1.01,400,0
1.02,400,0
1.03,400,0
1.04,400,0
1.05,400,0
1.06,400,0
1.07,400,0
