time_s,nonlinear,linearized
0,0,0
1.33967276347178e-06,-7.66724452040832e-08,-7.66724452040832e-08
8.03803658083066e-06,-2.75997948462992e-06,-2.75997948462992e-06
4.15298556676251e-05,-7.36456217407449e-05,-7.36456217407445e-05
0.000208988951101597,-0.0018611166407715,-0.00186111664076689
0.00104628442827146,-0.0461666081016588,-0.0461666080297105
0.00395487769946324,-0.636257706329539,-0.63625750657539
0.00941988633924763,-3.37205854993839,-3.37202503201768
0.0185683989323391,-11.6819216675903,-11.6801478701588
0.0322465455301735,-29.6334983215011,-29.5915338715519
0.04238620905281,-44.9999999999993,-44.8053774662871
0.0423862090528105,-45,-44.8053774662878
0.042513885745578,-45,-45
0.0425138857455785,-45,-45
0.0616096999953255,-45,-45
0.09452927064101,-45,-45
0.131552291919862,-45,-45
0.154394957035594,-45,-45
0.154394957035596,-45,-45
0.159973075633674,-45,-45
0.159973075633676,-45,-44.9999999999968
0.197976080942225,-45,43.7863836753244
0.198536567707958,-45,44.9999999999962
0.19853656770796,-45,45
0.229297072391097,-45,45
0.263062219887569,-45,45
0.300715866695556,-45,45
0.342175109637791,-45,45
0.390923409005829,-45,45
0.454475554394678,-45,45
0.505672122219703,-45,45
0.50567212221971,-45,45
0.528732258874131,-45,45
0.528732258874138,-44.9999999999965,45
0.55875930310855,-29.3509542593202,45
0.560579867244489,-28.3687879986421,45
0.560579867244496,-28.3687879986383,45
0.573882338656992,-21.0791548631301,45
0.573882338656999,-21.0791548631261,44.9999999999735
0.597350827743687,-7.75343140056092,-44.9999999999735
0.597350827743694,-7.75343140055681,-45
0.629252294273084,11.1876340915304,-45
0.66179404091872,31.1951463209403,-45
0.683964336946351,44.9999999999995,-45
0.683964336946358,45,-45
0.721376808030822,45,-45
0.76530782067802,45,-45
0.817679108007493,45,-45
0.818178702918616,45,-45
0.818178702918623,45,-45
0.81817870291863,45,-45
0.863862388342115,45,-45
0.9095460737656,45,-45
0.956470892520518,45,-45
1.01008611527501,45,-45
1.07700182963098,45,-45
1.11512565502692,45,-45
1.11512565502693,45,-45
1.14406357405935,45,-45
1.15256443895614,45,-45
1.15256443895615,45,-45
1.18150235798857,45,-45
1.20038520863346,45,-45
1.20038520863347,45,-44.9999999999997
1.22804165487104,45,44.999999999974
1.22804165487105,45,45
1.25569810110861,45,45
1.28335454734618,45,45
1.32414736595066,45,45
1.36853402439717,45,45
1.42300958092776,45,45
1.50050191755463,45,45
1.56869778236905,45,45
1.56869778236907,45,45
1.56869778236909,45,45
1.61761231918265,45,45
1.66652685599622,45,45
1.7163455292852,45,45
1.77305759441244,45,45
1.83662541561271,45,45
1.83662541561272,44.9999999999906,45
1.90799109841258,-5.545056482434,45
1.95994187811725,-44.9999999999893,45
1.95994187811726,-45,45
2.01452390723429,-45,45
2.01452390723432,-45,45
2.03965425049821,-45,45
2.03965425049824,-45,45
2.06478459376213,-45,45
2.0671911504942,-45,45
2.06719115049423,-45,44.9999999998863
2.08951612702221,-45,-44.9999999999999
2.08951612702224,-45,-45
2.11184110355022,-45,-45
2.1341660800782,-45,-45
2.17161990972825,-45,-45
2.21031903339594,-45,-45
2.23555764029259,-45,-45
2.23555764029262,-45,-45
2.27931803461959,-45,-45
2.32307842894655,-45,-45
2.37006429670154,-45,-45
2.42306259756941,-45,-45
2.48875364616043,-45,-45
2.59351452673928,-45,-45
2.69383684305165,-45,-45
2.8219565743878,-45,-45
2.97693796223345,-45,-45
2.97693796223348,-45,-45
3.02642909212071,-45,-45
3.07592022200794,-45,-45
3.09468215213633,-45,-45
3.09468215213635,-45,-45
3.11525895056316,-45,-45
3.11525895056318,-45,-45
3.11525895056321,-45,-45
3.13583574899001,-45,-45
3.15641254741682,-45,-45
3.17086569157135,-45,-45
3.17086569157138,-45,-44.999999999999
3.19824356260836,-45,44.9999999999997
3.19824356260838,-45,45
3.22562143364536,-45,45
3.25299930468234,-45,45
3.29383998457046,-45,45
3.33823290554588,-45,45
3.38582186517054,-45,45
3.38582186517057,-44.9999999999768,45
3.44036346347137,1.58465218139245,45
3.48846637067707,44.9999999999742,45
3.4884663706771,45,45
3.5430079689779,45,45
3.54367656296878,45,45
3.54367656296881,45,45
3.59821816126961,45,45
3.64213086654803,45,45
