time_ms,distance_mm,beam_deg
9,278,45.0
68,394,45.0
127,392,45.0
186,383,33.82
245,383,45.0
303,386,45.0
363,380,45.0
422,377,45.0
481,373,45.0
540,366,41.81
599,364,45.0
658,356,15.92
717,354,45.0
777,353,45.0
835,343,-27.53
894,343,45.0
954,336,6.16
1012,331,28.2
1071,316,-45.0
1131,309,-26.14
1190,302,-34.52
1249,289,-45.0
1308,277,-45.0
1367,274,-12.07
1426,262,-45.0
1485,266,45.0
1545,266,20.35
1603,260,-45.0
1662,267,45.0
1722,266,6.37
1780,267,35.58
1839,272,45.0
1899,273,42.8
1958,272,13.62
2017,272,27.63
2076,270,-2.76
2135,263,-45.0
2194,260,-28.75
2253,252,-28.75
2313,247,-28.75
2371,252,-28.75
2430,259,45.0
2490,262,45.0
2548,263,29.62
2607,267,45.0
2667,261,-45.0
2725,268,45.0
2785,265,-23.95
2844,264,2.85
2902,259,-45.0
2962,260,26.06
3021,258,-18.33
3080,254,-18.33
3139,255,-18.33
3198,262,45.0
3257,270,45.0
3316,269,8.83
3375,271,45.0
3435,263,-45.0
3493,276,45.0
3553,274,0.87
3612,264,-45.0
3670,265,32.08
3730,261,-42.71
3789,268,45.0
3848,259,-45.0
3907,259,10.91
3966,253,10.91
4025,256,45.0
4084,260,45.0
4143,254,45.0
4202,261,45.0
4261,265,45.0
4321,259,-45.0
4379,257,-19.58
4438,254,-19.58
4498,251,-19.58
4556,247,-19.58
4616,248,-19.58
4675,250,-19.58
4733,253,-19.58
4793,247,-19.58
4851,249,-19.58
4910,251,-19.58
4970,249,-19.58
5028,250,-19.58
5088,250,-19.58
5146,254,-19.58
5205,255,-19.58
5265,256,45.0
5323,266,45.0
5383,268,45.0
5442,271,45.0
5500,271,25.24
5560,264,-45.0
5619,260,-43.95
5678,254,-43.95
5737,257,45.0
5796,259,38.81
5856,259,10.81
5914,259,10.82
5973,259,10.82
6033,264,45.0
6091,264,16.84
6151,262,-13.56
6210,260,-15.95
6268,254,-15.95
6328,255,-15.95
6387,256,45.0
6445,263,45.0
6505,265,45.0
6564,266,33.22
6623,267,34.43
6682,266,5.24
6741,261,-45.0
6801,260,-1.95
6859,255,-1.95
6919,252,-1.95
6977,253,-1.95
7036,260,45.0
7096,259,-3.19
7154,259,10.81
7213,267,45.0
7273,265,-9.97
7331,271,45.0
7391,266,-45.0
7450,270,45.0
7508,268,-6.33
7568,268,21.68
7627,258,-45.0
7685,264,45.0
7745,258,-45.0
7804,259,24.9
7863,254,24.9
7922,262,45.0
7981,260,-15.99
8041,258,-18.38
8099,259,24.82
8159,266,45.0
8218,262,-41.57
8276,273,45.0
8336,274,42.86
8395,267,-45.0
8453,270,45.0
8513,273,45.0
8572,267,-45.0
8632,261,-45.0
8690,261,13.31
8749,258,-32.29
8809,254,-32.29
8867,258,45.0
8927,254,45.0
8986,264,45.0
9044,257,-45.0
9104,262,45.0
9163,261,-0.78
9221,257,-45.0
9281,260,45.0
9340,254,45.0
9399,265,45.0
9458,264,2.81
9517,261,-28.78
9576,262,28.43
9635,259,-31.17
9695,264,45.0
9754,269,45.0
9812,272,45.0
9872,273,41.67
9931,276,45.0
9989,271,-44.71
10049,263,-45.0
10108,267,45.0
10168,261,-45.0
10226,257,-45.0
10285,260,45.0
10345,250,45.0
10403,256,45.0
10463,256,7.21
10522,256,7.21
10580,255,7.21
10640,254,7.21
10699,261,45.0
10759,259,-17.19
10817,266,45.0
10876,260,-45.0
10936,262,42.43
10995,257,-45.0
11053,257,8.44
11113,261,45.0
11172,251,45.0
11231,253,45.0
11290,248,45.0
11348,252,45.0
11408,248,45.0
11467,249,45.0
11525,247,45.0
11585,251,45.0
11644,242,-45.0
11703,248,-45.0
11762,247,-45.0
11821,252,-45.0
11880,250,-45.0
11939,252,-45.0
11999,257,45.0
12057,254,45.0
12116,255,45.0
12176,254,45.0
12234,249,45.0
12293,257,45.0
12353,254,45.0
12411,250,45.0
12471,258,45.0
12530,250,45.0
12588,259,45.0
12648,253,45.0
12707,252,45.0
12766,248,45.0
12825,250,45.0
12884,254,45.0
12943,256,45.0
13002,251,45.0
13061,253,45.0
13120,255,45.0
13179,249,45.0
13239,252,45.0
13297,254,45.0
13356,251,45.0
13415,255,45.0
13474,254,45.0
13534,254,45.0
13593,256,45.0
13651,256,7.21
13711,256,7.21
13769,253,7.21
13828,250,7.21
13888,250,7.21
13946,253,7.21
14006,254,7.21
14064,254,7.21
14123,252,7.21
14183,254,7.21
14241,255,7.21
14301,252,7.21
14359,254,7.21
14418,251,7.21
14478,253,7.21
14536,252,7.21
14595,260,45.0
14655,252,45.0
14713,257,45.0
14773,260,45.0
14832,256,-45.0
14891,259,45.0
14950,251,45.0
15009,250,45.0
