,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_6,mse_1_7,mse_1_8,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_4,mse_2_5,mse_2_6,mse_2_7,mse_2_8,avg_mse
test_2_3,"[0.328249029183152, 127.17006620236731]","[1, 17.66523218332032, 135.55520371814546]",22.3077,14.4091,16.8555,13.0285,5.8661,14.1178,13.8828,10.3112,11.2087,15.4097,10.6478,14.5034,24.8881,11.9646,14.7842,14.3613,14.9185,11.2822,14.1526
test_2_4,"[0.32929126822145505, 126.49860317615044]","[1, 17.596386143660386, 134.84267792373248]",22.4752,14.4948,16.9200,13.1070,5.8929,14.1955,13.9554,10.3617,11.2613,15.5523,10.7077,14.6164,25.0518,12.0596,14.8855,14.4444,15.0060,11.3465,14.2408
test_2_5,"[0.6540009114402301, 214.47044065157374]","[1, 23.112938313937864, 230.11424485893514]",6.9955,5.4346,9.5385,5.6978,2.8497,5.8347,6.1232,5.9288,5.3087,5.9577,8.2696,6.5010,8.2763,12.8067,13.9393,15.3511,13.2320,4.6232,7.9260
test_2_6,"[0.6583581492588121, 216.46752899511722]","[1, 23.250418341303224, 232.24961239636434]",6.8737,5.3429,9.4542,5.6142,2.8185,5.7520,6.0469,5.9022,5.2443,5.9464,8.3088,6.4938,8.1374,12.9435,14.0734,15.5164,13.3322,4.5516,7.9085
test_2_7,"[0.5343362659104001, 213.82330664037625]","[1, 23.067695345617135, 229.42376520812311]",7.2152,5.5993,9.6972,5.8473,2.9069,5.9814,6.2590,5.9843,5.4283,6.0024,8.2214,6.5212,8.5202,12.6152,13.7542,15.1354,13.0952,4.7518,7.9742
test_2_8,"[0.717470415685153, 210.51836567519726]","[1, 22.834513607183656, 222.6976144917066]",7.9205,5.9447,10.4036,5.9750,3.2377,6.6156,6.8906,6.5566,5.7576,6.3408,8.2185,7.1518,9.3964,12.9754,14.2222,16.1704,13.7286,4.9033,8.4672
test_2_9,"[0.6364470961741211, 208.63772823840935]","[1, 22.734459207570556, 220.70514934975452]",8.2000,6.1473,10.5910,6.1493,3.3075,6.7987,7.0603,6.6226,5.9016,6.4004,8.1561,7.1907,9.7175,12.7116,13.9823,15.8755,13.5501,5.0585,8.5234
test_2_10,"[1.113640143546303, 449.2792278446712]","[1, 34.248794115154226, 488.74007356027204]",5.0242,1.2394,3.6551,2.2842,0.9653,1.5675,1.9672,6.8652,1.3654,16.0657,18.7472,15.6504,2.9687,38.1548,38.8615,42.0837,33.4665,1.5608,12.9163
test_2_11,"[1.435501582167958, 442.0551028396249]","[1, 33.87458099272107, 480.89427138780957]",5.0652,1.2281,3.6092,2.2830,0.9579,1.5586,1.9615,6.8962,1.3422,16.2122,18.8821,15.8068,2.9874,38.4306,39.1382,42.3870,33.7095,1.5573,13.0007
test_2_12,"[1.052172236991921, 446.620788966184]","[1, 34.04083880233027, 485.8608332660002]",4.9995,1.2487,3.6867,2.2994,0.9714,1.5755,1.9778,6.8492,1.3835,15.9798,18.6828,15.5606,2.9590,38.0238,38.7160,41.9446,33.3445,1.5689,12.8762
test_2_13,"[1.433377842135731, 428.2552528883981]","[1, 32.898746486250936, 455.99511289526487]",5.4617,1.4601,4.5729,2.2802,1.3568,2.1968,2.6461,7.4836,1.7147,16.0030,18.3695,15.9306,3.5999,38.3925,39.1636,43.3396,33.9576,1.5077,13.3020
test_2_14,"[1.194659124924041, 453.0652482278755]","[1, 34.05207590080872, 492.88801414119797]",5.2935,1.2429,3.5517,2.3141,0.9502,1.5552,1.9472,7.0586,1.3097,16.8424,19.3914,16.3561,3.0486,39.6210,40.2954,43.6299,34.6837,1.5721,13.3702
test_2_15,"[-0.8719362497702721, 409.3436189727706]","[1, 32.93596850891217, 476.46489575116095]",4.0584,2.0718,3.0366,4.2266,0.7082,1.7198,1.7586,5.4257,1.7420,13.0498,18.5575,12.9038,2.7349,31.5458,31.0146,32.4683,27.4833,3.9404,11.0248
test_2_16,"[1.190307198290466, 458.04725446852285]","[1, 34.778101184477954, 520.9678612661716]",5.1851,1.4283,2.2776,3.1718,0.5308,1.1915,1.3576,6.4545,1.0397,17.3443,21.1085,16.7797,2.8073,39.7332,39.8275,41.9509,34.5027,2.7047,13.2998
test_2_17,"[1.138041522625788, 473.53349374887927]","[1, 35.588563541174665, 538.5522198257704]",5.3739,1.4333,2.1944,3.1623,0.5190,1.1885,1.3402,6.5698,0.9952,17.8278,21.4706,17.2337,2.8868,40.5251,40.6427,42.7746,35.1897,2.7063,13.5574
test_2_18,"[1.433400016904972, 467.17778209926297]","[1, 35.37130831229388, 531.3225596266587]",5.3832,1.4278,2.1694,3.1590,0.5161,1.1875,1.3420,6.5733,0.9845,17.8581,21.5014,17.2847,2.9042,40.5579,40.6880,42.8220,35.2355,2.7051,13.5722
test_2_19,"[1.155802053618203, 457.89058773813724]","[1, 34.849565068998224, 520.7833147040689]",5.1307,1.4266,2.2979,3.1651,0.5334,1.1927,1.3603,6.4163,1.0502,17.1920,20.9824,16.6398,2.7889,39.4498,39.5493,41.6516,34.2658,2.7014,13.2108
test_2_20,"[0.509897713282462, 228.82356592561126]","[1, 24.31577422764982, 256.4989025643107]",5.1000,4.4351,7.3153,5.4894,1.9810,4.2542,4.4507,4.7029,4.2728,5.6998,9.6467,5.9231,5.9583,13.5391,14.0885,14.4177,13.1456,4.6387,7.1699
test_2_21,"[0.46693776106361, 227.63537320420923]","[1, 24.233562449467993, 255.1753326242002]",5.1957,4.5159,7.3962,5.5645,2.0095,4.3268,4.5175,4.7226,4.3329,5.6872,9.5965,5.9045,6.0705,13.3859,13.9356,14.2427,13.0277,4.7030,7.1742
test_2_22,"[0.56031837428315, 234.27145839965428]","[1, 24.641563788793032, 262.59588679390686]",4.8158,4.1903,7.0725,5.2715,1.8944,4.0311,4.2450,4.6551,4.0911,5.7773,9.8393,6.0034,5.6055,14.1100,14.6434,15.0627,13.5792,4.4472,7.1853
test_2_23,"[0.47550068356989006, 230.33173469698914]","[1, 24.39102933107124, 258.1961614229781]",5.0613,4.4029,7.2863,5.4652,1.9698,4.2235,4.4224,4.6997,4.2501,5.7174,9.6826,5.9346,5.9039,13.6452,14.1851,14.5364,13.2223,4.6153,7.1791
test_2_24,"[0.494431833008715, 230.83423053753924]","[1, 24.44317119362933, 258.75115193820795]",5.0301,4.3758,7.2584,5.4360,1.9602,4.1996,4.4005,4.6916,4.2298,5.7198,9.6948,5.9403,5.8715,13.6806,14.2270,14.5813,13.2529,4.5922,7.1746
test_2_25,"[0.23486484344539602, 137.7723804194211]","[1, 18.976740193526, 156.848548557058]",16.4249,11.6970,12.8604,11.9388,4.2380,10.6958,10.3193,7.5451,8.9631,11.4900,10.6918,10.7918,18.3564,9.6870,11.1405,9.1478,11.5149,10.5619,11.0036
test_2_26,"[0.18616513634245602, 136.60967421886306]","[1, 18.862611578341337, 155.53075138759115]",16.8471,11.9360,13.0493,12.1578,4.3150,10.9092,10.5177,7.6768,9.1152,11.8110,10.8151,11.0504,18.7770,9.8394,11.3077,9.2848,11.6752,10.7461,11.2128
test_2_27,"[0.221362510977847, 139.04872336471533]","[1, 19.06490891638854, 158.29837858753186]",16.1741,11.5627,12.7626,11.8293,4.1957,10.5737,10.2050,7.4728,8.8796,11.2935,10.6156,10.6277,18.0922,9.6194,11.0425,9.0796,11.4228,10.4620,10.8839
test_2_28,"[0.19891524004361902, 138.12582717936917]","[1, 18.968326425028025, 157.25441236455902]",16.4242,11.7048,12.8757,11.9638,4.2413,10.7006,10.3222,7.5505,8.9693,11.4822,10.6846,10.7788,18.3376,9.7113,11.1388,9.1522,11.5130,10.5725,11.0069
test_2_29,"[0.226373164787419, 139.13561041611567]","[1, 19.068116346863533, 158.39725426770588]",16.1285,11.5373,12.7433,11.8085,4.1875,10.5509,10.1835,7.4590,8.8632,11.2589,10.6013,10.5991,18.0443,9.6075,11.0259,9.0652,11.4057,10.4429,10.8618

