,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_6,mse_1_7,mse_1_8,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_4,mse_2_5,mse_2_6,mse_2_7,mse_2_8,avg_mse
test_1_0,"[1.315187881610234, 418.0007591958656]","[1, 31.49594113934334, 418.3877900506172]",8.9958,3.3659,8.1867,3.8449,3.2051,5.8108,6.0651,11.0680,3.4439,18.5076,20.5298,20.4142,7.6905,43.5336,43.7011,52.0931,39.7664,3.3466,16.8650
test_1_1,"[1.231639782044438, 422.61707666720497]","[1, 31.65839731160296, 423.00879154171236]",9.0610,3.3652,8.1627,3.8477,3.2007,5.8048,6.0552,11.1172,3.4293,18.7065,20.6890,20.5879,7.7027,43.9075,44.0700,52.4852,40.0737,3.3464,16.9785
test_1_2,"[1.158776300102047, 427.6015380065008]","[1, 31.8659410391504, 427.99486924302175]",9.1163,3.3600,8.1343,3.8432,3.1949,5.7958,6.0419,11.1602,3.4115,18.8877,20.8329,20.7487,7.7100,44.2432,44.4060,52.8366,40.3524,3.3422,17.0788
test_1_3,"[1.158776300102047, 427.6015380065008]","[1, 31.8659410391504, 427.99486924302175]",9.1163,3.3600,8.1343,3.8432,3.1949,5.7958,6.0419,11.1602,3.4115,18.8877,20.8329,20.7487,7.7100,44.2432,44.4060,52.8366,40.3524,3.3422,17.0788
test_1_4,"[0.9681132108088111, 428.35015352042507]","[1, 31.986741615548087, 428.73296770789415]",9.0259,3.3835,8.2138,3.8535,3.2112,5.8218,6.0678,11.0863,3.4573,18.5511,20.5420,20.4289,7.6961,43.5875,43.7581,52.1378,39.8022,3.3566,16.8879
test_1_5,"[0.566334683499487, 211.5113517228764]","[1, 22.38093734106778, 217.6678066030875]",9.8186,6.9408,12.1010,6.7507,4.0650,8.2714,8.4763,8.1522,6.6104,7.6885,9.0976,9.2056,11.4833,15.2863,16.3281,19.9466,16.2949,5.7101,10.1237
test_1_6,"[0.545444967511172, 208.5029173157773]","[1, 22.298895109326892, 214.53062924784197]",10.1514,7.1802,12.3181,6.9295,4.1498,8.4970,8.6852,8.2203,6.7803,7.7289,8.9859,9.2446,11.9032,14.8328,15.9477,19.4694,16.0025,5.8876,10.1619
test_1_7,"[0.6104900291232811, 209.75098510639532]","[1, 22.3155689996919, 215.81884586880355]",9.9060,7.0032,12.1576,6.7898,4.0891,8.3358,8.5359,8.1683,6.6544,7.6829,9.0526,9.2140,11.6065,15.1188,16.1900,19.7728,16.1894,5.7550,10.1234
test_1_8,"[0.5944170304010991, 205.5215086171411]","[1, 22.116767513261877, 211.46703013903857]",10.3013,7.2840,12.4054,7.0152,4.1840,8.5923,8.7734,8.2494,6.8498,7.7537,8.9446,9.2714,12.0817,14.6675,15.7994,19.2678,15.8914,5.9651,10.1832
test_1_9,"[0.556949876251421, 211.23774448827604]","[1, 22.33856664051422, 217.35298329955194]",9.8578,6.9648,12.1279,6.7781,4.0762,8.2973,8.5005,8.1733,6.6275,7.7151,9.1135,9.2333,11.5179,15.3250,16.3549,19.9876,16.3270,5.7313,10.1505
test_1_10,"[0.31289526485540803, 120.11753827839266]","[1, 16.854772434269897, 124.10149859208087]",27.6013,17.0663,19.7999,14.9330,7.2570,17.3640,17.0101,12.9450,13.1309,19.6050,12.8020,18.9920,30.6723,15.6955,18.8567,19.9768,19.3421,13.2119,17.5701
test_1_11,"[0.312898484526269, 122.19061700686565]","[1, 17.0215752461209, 124.9420259595163]",28.1356,17.3590,20.3470,15.0856,7.5612,17.9593,17.5775,13.5305,13.4049,19.9448,13.2025,19.7687,31.4077,16.3473,19.4850,21.3490,20.2840,13.5041,18.1252
test_1_12,"[0.27152891063712803, 123.57536287148557]","[1, 17.166112629738244, 127.66210874219566]",26.7015,16.6285,19.4897,14.5710,7.1214,16.9620,16.6295,12.6802,12.8619,18.8074,12.4354,18.3493,29.7602,15.1725,18.2567,19.4583,18.8164,12.8920,17.0886
test_1_13,"[0.340112899212049, 123.22214313294162]","[1, 17.147053478205574, 127.2963137014477]",26.4306,16.4766,19.3700,14.4284,7.0722,16.8287,16.5038,12.5867,12.7649,18.5801,12.3211,18.1647,29.4994,14.9958,18.0845,19.2722,18.6483,12.7727,16.9334
test_1_14,"[0.33013534718192605, 121.50555072597945]","[1, 16.972837039835905, 124.24220331862328]",28.2841,17.4296,20.3927,15.1339,7.5830,18.0251,17.6406,13.5726,13.4485,20.0770,13.2665,19.8797,31.5692,16.4146,19.5779,21.4298,20.3687,13.5541,18.2026
test_1_15,"[-0.138709484960563, 57.52732283563747]","[1, 11.619260209140881, 59.740069264560006]",83.7129,43.4189,35.4001,32.7835,15.3311,41.0626,40.4966,31.6494,29.3919,75.1498,49.3218,68.0983,90.2041,65.6188,73.6504,80.4230,72.9629,32.5601,53.4020
test_1_16,"[-0.15430289540869202, 58.11070167983892]","[1, 11.676373709112758, 60.34801247404067]",83.0592,43.1051,35.2593,32.6379,15.2364,40.7935,40.2100,31.4001,29.1997,74.4698,48.7379,67.3995,89.4457,64.8979,72.8655,79.4679,72.1121,32.3339,52.9240
test_1_17,"[-0.152947769160048, 58.15051153793678]","[1, 11.680177775318924, 60.385748354103434]",82.9784,43.0670,35.2412,32.6141,15.2259,40.7619,40.1774,31.3726,29.1770,74.3856,48.6733,67.3215,89.3592,64.8092,72.7724,79.3625,72.0178,32.3060,52.8680
test_1_18,"[-0.121869587668154, 57.707025671242256]","[1, 11.645131103406207, 59.926830743075215]",83.1027,43.1385,35.2356,32.5903,15.2443,40.8111,40.2443,31.4357,29.2196,74.5321,48.8831,67.5412,89.5719,64.9584,72.9686,79.6546,72.2925,32.3528,52.9876
test_1_19,"[-0.143958416099383, 57.45378409378227]","[1, 11.611734530127746, 59.66217808067441]",83.9417,43.5289,35.4613,32.8537,15.3652,41.1598,40.5959,31.7346,29.4593,75.3828,49.5009,68.3221,90.4514,65.8674,73.9094,80.7262,73.2315,32.6419,53.5630
test_2_0,"[0.30154163618872604, 126.71057005239577]","[1, 17.602054634540817, 135.06967744439294]",22.5378,14.5327,16.9532,13.1488,5.9054,14.2280,13.9854,10.3849,11.2859,15.6019,10.7305,14.6541,25.1057,12.1077,14.9237,14.4869,15.0428,11.3776,14.2774
test_2_1,"[0.262415102849342, 126.71056674794863]","[1, 17.59501294677643, 135.07067577252445]",22.7345,14.6419,17.0388,13.2491,5.9406,14.3247,14.0764,10.4501,11.3555,15.7636,10.8064,14.7848,25.2982,12.2182,15.0362,14.6011,15.1512,11.4623,14.3852
test_2_2,"[0.28210921515473003, 127.08991924535984]","[1, 17.629848886690308, 135.47366343910667]",22.5219,14.5286,16.9533,13.1500,5.9045,14.2230,13.9806,10.3831,11.2842,15.5858,10.7251,14.6402,25.0851,12.1072,14.9142,14.4867,15.0372,11.3763,14.2715
